id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1759705684986224845,@azucenau Le van inventar lo que sea con tal de no permitir que compita El INE representa hoy la antidemocracia en México,https://twitter.com/AlfredoJalife/status/1759705684986224845,tweet,Alfredo Jalife-Rahme,@AlfredoJalife,28,3,30,167,5119,4,2024-02-19 16:25:03,,
1759690609525240041,Mi ingreso a la LEGIÓN DE HONOR NACIONAL DE MÉXICO que preside el jurista Juan Carlos Sanchez Magallán en una ceremonia en la Facultad de Derecho de la UNAM dirigida por el Dr Raul Contreras Bustamante el 08.02.24. https://t.co/2W1EFMmCt1,https://twitter.com/AlfredoJalife/status/1759690609525240041,tweet,Alfredo Jalife-Rahme,@AlfredoJalife,65,6,174,963,19234,13,2024-02-19 15:25:09,"https://pbs.twimg.com/media/GGutPT9XUAA2tFw.jpg,https://pbs.twimg.com/media/GGutPUFXQAAKZk_.jpg,https://pbs.twimg.com/media/GGutPUAWQAAo6NM.jpg,https://pbs.twimg.com/media/GGutPUEXwAAI2RL.jpg",
1759679759309521080,"Rep. Rashida Tlaib urges fellow Democrats to vote against Biden in Michigan

https://t.co/EMJpt9egch https://t.co/WvwaCSsooq",https://twitter.com/AlfredoJalife/status/1759679759309521080,retweet,The Washington Times,@WashTimes,0,0,6,0,-,0,2024-02-19 14:42:02,https://pbs.twimg.com/media/GGui9y1WwAEDQ6Z.jpg,
1759669048961290651,Celso Amorim es el genio de la política exterior de Brasil https://t.co/HegFp4hQPc,https://twitter.com/AlfredoJalife/status/1759669048961290651,tweet,Alfredo Jalife-Rahme,@AlfredoJalife,4,4,75,215,7108,1,2024-02-19 13:59:28,https://pbs.twimg.com/media/GGuZq2mWUAAXc9l.jpg,
1759652034331222259,"🎥🔴 Así es como los Emiratos Árabes Unidos, #SaudiArabia y #Jordania ayudan a Israel a sortear el bloqueo de #Yemen 🇾🇪 en el mar Rojo. 

⚠️👉Más detalles en el siguiente vídeo

#GazaGenocide #IsraelPalestineWar https://t.co/tajORYtC5U",https://twitter.com/AlfredoJalife/status/1759652034331222259,retweet,HispanTV,@Nexo_Latino,0,0,161,0,-,0,2024-02-19 12:51:52,,
1759651813517893926,Italian media going hard https://t.co/YNkeWyt4VP,https://twitter.com/AlfredoJalife/status/1759651813517893926,retweet,Trollstoy,@Trollstoy88,0,0,159,0,-,0,2024-02-19 12:50:59,https://pbs.twimg.com/media/GGuIhtLXUAAKYYD.jpg,
1759651594684027344,"E S T R E N O 
Lunes 19 de febrero a las 17:00 HRS (CDMX)
Lawfare: ¿Descarrilan a Trump sus múltiples juicios? 
https://t.co/Wo4AULFjsD 
#RadarGeopolitico #Jalife 
#Youtube #AlfredoJalife  #Análisis https://t.co/yqIaADkxHE",https://twitter.com/AlfredoJalife/status/1759651594684027344,tweet,Alfredo Jalife-Rahme,@AlfredoJalife,2,1,12,46,3276,0,2024-02-19 12:50:07,https://pbs.twimg.com/media/GGuJytbWMAA4yqL.jpg,
1759651279335530945,"🇷🇺🇺🇦🇪🇦 El traidor ha muerto: el piloto ruso  Maxim Kuzminov,que mató a sus  compañeros de armas y secuestró un helicóptero militar  mi-8 con destino a Ucrania en 2023, probablemente ha sido hallado muerto en España, medios españoles
La policía tiene la versión de que los 

1/4 https://t.co/4h83bBKfa7",https://twitter.com/AlfredoJalife/status/1759651279335530945,retweet,𝔻𝕖𝕤𝕕𝕖 𝕃𝕒𝕤 𝕋𝕣𝕚𝕟𝕔𝕙𝕖𝕣𝕒𝕤,@DOGDEGA,0,0,281,0,-,0,2024-02-19 12:48:52,,
1759651188713357702,"Loret de Mola alias
#LordMontajes 
#LordArdillo https://t.co/T3wz8V6RaF",https://twitter.com/AlfredoJalife/status/1759651188713357702,retweet,José,@Noe77Jose,0,0,348,0,-,0,2024-02-19 12:48:30,https://pbs.twimg.com/media/GGg2cmnawAAn-Gv.jpg,
1759651060183146621,The Biden administration will give $1.5 billion to help build a vast new computer-chip factory in New York state as part of an effort to strengthen the country’s ability to mass-produce the brains of modern consumer and military electronics. https://t.co/fT81t9jWBC,https://twitter.com/AlfredoJalife/status/1759651060183146621,retweet,The Washington Post,@washingtonpost,0,0,27,0,-,0,2024-02-19 12:48:00,,
