id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1762596533852106873,"Ahora resulta que quien tiene que declarar, aclarar y defenderse no es Pío López Obrador, sino quien denuncia la corrupción que rodea al presidente @lopezobrador_ , a su partido y a su familia. 

Basta de la politización rutinaria de la justicia. 
Basta del acoso judicial a periodistas que exponen abusos y desvío de recursos. 
Basta del doxxeo y el hostigamiento desde el poder. 

Y por cierto, ¿dónde quedó la investigación que la @FGRMexico supuestamente hizo en torno a los sobres amarillos? ¿Y qué pasó con el dinero dentro de esos sobres?",https://twitter.com/DeniseDresserG/status/1762596533852106873,tweet,Denise Dresser,@DeniseDresserG,718,83,2952,7985,180872,27,2024-02-27 15:52:15,,
1762591036071608344,"El hostigamiento judicial contra los periodistas se mantiene. Hoy @CarlosLoret testifica por una demanda interpuesta por Pio López Obrador. La acusación es que difundió los videos donde se le ve recibiendo dinero en efectivo que, dijo, era para las campañas de su hermano. (1/2)",https://twitter.com/DeniseDresserG/status/1762591036071608344,retweet,Sergio Aguayo,@sergioaguayo,0,0,608,0,2,0,2024-02-27 15:30:25,,
1762590940898697603,"Pío recibió dinero del gobierno de Chiapas a través de David León, que lo grabó varias veces y a quien buscan procesar es a @CarlosLoret. 

Pío y Martín López Obrador recibieron dinero y lo entregaron a su hermano. 

La denuncia contra Loret de Mola es un intento de intimidación… https://t.co/yBwGlqyMBd",https://twitter.com/DeniseDresserG/status/1762590940898697603,retweet,Emilio Álvarez Icaza Longoria,@EmilioAlvarezI,0,0,5876,0,4,0,2024-02-27 15:30:02,,
1762590897575715290,"Por primera vez en tres décadas, el gobierno no compró en 2019 la vacuna BCG para recién nacidos que los protege contra la tuberculosis, pese a ser considerada como la segunda enfermedad infecciosa más mortífera, después de la COVID-19. El resultado? 👇🏽 https://t.co/zruVLWWEPk",https://twitter.com/DeniseDresserG/status/1762590897575715290,retweet,Nayeli Roldán,@nayaroldan,0,0,1607,0,1,0,2024-02-27 15:29:51,,
1762582740505903324,"¿Qué pasa cuando un presidente dice que está por encima de la ley? 
¿Cuando un gobierno viola rutinariamente las reglas y la  Constitución?
¿Cuando un partido no cree en la división de poderes o en los contrapesos o en los derechos humanos? 
¿Cuando llama a votar en favor de destruir la democracia deficitaria en vez de corregirla? 
¿Cuando militariza la vida pública y es no produce menos inseguridad? 
¿Y qué puede hacer un ciudadano cuando pisotean o ignoran sus derechos? 

Hablaremos de todo ello en la presentación de mi nuevo libro “¿Qué hacer? Veinte lecciones ciudadanas ante un país en riego”. 
¿Qué puede hacer una ciudadana para impedir el regreso del viejo régimen?. 

Están invitadxs a debatirlo y agradezco a @MissConesa a @JRCossio  y a la Escuela Libre de Derecho su generosidad. 

Jueves 28 de febrero 6 pm",https://twitter.com/DeniseDresserG/status/1762582740505903324,tweet,Denise Dresser,@DeniseDresserG,94,7,237,713,28746,5,2024-02-27 14:57:27,https://pbs.twimg.com/media/GHXzqHRXAAAM67D.jpg,
1762579629745848614,"¿Esto ya es militarización de la vida pública de México o todavía no ? 

Ejército monitorea redes sociales para identificar críticos de militares y del Gobierno; crea bots para influenciar web https://t.co/pigPVH7rQT",https://twitter.com/DeniseDresserG/status/1762579629745848614,retweet,Paola Zavala Saeb,@PaolaSaeb,0,0,732,0,-,0,2024-02-27 14:45:05,,
1762579333288231297,"Contexto:

En 2018 la administración de Manuel Velasco en Chiapas desvío más de mil millones de pesos a través de empresas fantasma. 

Tras ser desviado, el dinero fue convertido en efectivo y repartido usando empresas de valores y cheques.

Lo probamos:

https://t.co/82tHt7qIlw",https://twitter.com/DeniseDresserG/status/1762579333288231297,retweet,Arturo Ángel,@arturoangel20,0,0,1851,0,-,0,2024-02-27 14:43:54,,
1762539122789413228,"Esto es antidemocrático, viola la Constitución y le da al Ejército un poder que no debería tener.

Lean. El Ejército emprende ""operaciones militares en el ciberespacio"" para monitorear las críticas al gobierno en redes sociales y manipular el debate público.

¿Con el permiso del presidente @lopezobrador_  o sin que él mismo lo sepa o pueda detenerlo? 

#EjércitoDeBots.

https://t.co/RdTkN9ZNTX",https://twitter.com/DeniseDresserG/status/1762539122789413228,tweet,Denise Dresser,@DeniseDresserG,356,81,1986,3742,106564,51,2024-02-27 12:04:07,https://pbs.twimg.com/media/GHXL_UqWwAAnxGG.jpg,
1762535319490973860,"El Ejército emprende ""operaciones militares en el ciberespacio"" para monitorear las críticas al gobierno en redes sociales y manipular la conversación digital. 

Conoce nuestra investigación sobre el #EjércitoDeBots. https://t.co/GvV28EZShz",https://twitter.com/DeniseDresserG/status/1762535319490973860,retweet,R3D,@R3Dmx,0,0,652,0,1,0,2024-02-27 11:49:01,,
1762535214524289033,"#HoyEnAnimal | El Ejército mexicano monitorea las redes sociales para identificar a críticos de militares y del gobierno, de acuerdo con documentos obtenidos por el Colectivo Guacamaya, así lo revela una investigación de @R3Dmx.
https://t.co/sXrsyUsKR3",https://twitter.com/DeniseDresserG/status/1762535214524289033,retweet,Animal Político,@Pajaropolitico,0,0,2044,0,1,0,2024-02-27 11:48:36,,
