id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1833193038161518938,"Gracias amor, entre besos y batallas también venceremos.",https://x.com/DiazCanelB/status/1833193038161518938,tweet,Miguel Díaz-Canel Bermúdez,@DiazCanelB,459,46,1225,1863,43905,10,2024-09-09 11:17:34,,
1833097554126352703,"Hoy llegan a la Patria nuestros queridos deportistas paralímpicos y los estaremos recibiendo como merecen, con mucho cariño y alegría. Hemos disfrutado la actuación de todos; con ustedes hemos aprendido de resiliencia, de humildad, de orgullo patrio. Cuba los abraza, campeones. https://t.co/bSaI5GUd5D",https://x.com/DiazCanelB/status/1833097554126352703,tweet,Miguel Díaz-Canel Bermúdez,@DiazCanelB,317,275,4044,4103,30628,4,2024-09-09 04:58:08,https://pbs.twimg.com/media/GXB4eFXX0AACYdU.jpg,
1833097052412150103,"Nos unimos al pueblo, al Partido del Trabajo de Corea y al gobierno de la RPDC en la celebración del 76 aniversario de su fundación. 

Reiteramos el firme compromiso de continuar profundizando los lazos históricos de amistad y cooperación que unen a nuestros pueblos. https://t.co/1fclR4Bmg6",https://x.com/DiazCanelB/status/1833097052412150103,tweet,Miguel Díaz-Canel Bermúdez,@DiazCanelB,236,114,3525,3580,29832,13,2024-09-09 04:56:09,https://pbs.twimg.com/media/GXB4BL5W0AAuNCg.jpg,
1832845008644309270,"Omara, si ya estábamos emocionados con tus tres oros en #Paris2024, las declaraciones que diste sobre tu retiro nos han estremecido mucho más. Aquí estamos para apoyarte en todo lo que te propongas. Tu pueblo te agradece, te quiere y te admira. 

¡Eres #LaCampeonaDeCuba! https://t.co/0txHA4Yq9j",https://x.com/DiazCanelB/status/1832845008644309270,tweet,Miguel Díaz-Canel Bermúdez,@DiazCanelB,254,133,2993,3176,26941,3,2024-09-08 12:14:37,https://pbs.twimg.com/media/GW-S0VPWMAAOmQQ.jpg,
1832843755994468679,"Felicito al amigo @TebbouneAmadjid por la reelección como Presidente de Argelia.

Confiamos en que bajo su liderazgo, el pueblo argelino mantendrá su ruta de paz y prosperidad.

Ratificamos la voluntad de continuar fortaleciendo nuestros vínculos de amistad y cooperación. https://t.co/xaNg4K2f9c",https://x.com/DiazCanelB/status/1832843755994468679,tweet,Miguel Díaz-Canel Bermúdez,@DiazCanelB,143,56,2194,2196,24248,1,2024-09-08 12:09:38,https://pbs.twimg.com/media/GW-Rrm1XoAA2tHt.jpg,
1832842380921172142,"Feliz cumpleaños a la brigada Martha Machado, el proyecto de Kcho que desde septiembre de 2008 devuelve vitalidad a espacios devastados por ciclones o terremotos. En la Isla de la Juventud, Haití, Baracoa y hace dos años en La Coloma, saben de qué hablo. Gracias por tanto, Kcho https://t.co/UFij12m6aW",https://x.com/DiazCanelB/status/1832842380921172142,tweet,Miguel Díaz-Canel Bermúdez,@DiazCanelB,118,61,2071,2068,15059,1,2024-09-08 12:04:10,https://pbs.twimg.com/media/GW-QbdUWUAAnCYO.jpg,
1832837608121966941,"Extendemos nuestras más sentidas condolencias al pueblo, al Partido Comunista y al gobierno de Vietnam, por las pérdidas de vidas humanas y los daños materiales provocados por el tifón Yagi. Toda la solidaridad de #Cuba en estos difíciles momentos. https://t.co/fakzoY4bxz",https://x.com/DiazCanelB/status/1832837608121966941,tweet,Miguel Díaz-Canel Bermúdez,@DiazCanelB,239,128,3493,3437,35301,9,2024-09-08 11:45:12,https://pbs.twimg.com/media/GW-MFrOW0AArUOM.jpg,
1832533923336733177,"Sheila Hernández ganó plata en sus primeros Juegos Paralímpicos. Para ella, la única parajudoca de la delegación, va el reconocimiento de #Cuba que ha tenido en #Paris2024 muchos momentos para aplaudir el talento y la garra de los nuestros. 

¡Felicidades, holguinera! https://t.co/48fq9RZGlK",https://x.com/DiazCanelB/status/1832533923336733177,tweet,Miguel Díaz-Canel Bermúdez,@DiazCanelB,179,92,2219,2401,18857,3,2024-09-07 15:38:28,https://pbs.twimg.com/media/GW534lmWsAAONZ6.jpg,
1832490284267000055,"Omara corre, Omara gana, a eso nos acostumbró la heroica santiaguera que ha llevado la bandera hasta el asta más empinada once veces en Juegos Paralímpicos. El más cálido abrazo a nuestra reina de la velocidad que hoy cerró con paso de leyenda la actuación de Cuba en #Paris2024. https://t.co/mZRdfp3eeZ",https://x.com/DiazCanelB/status/1832490284267000055,tweet,Miguel Díaz-Canel Bermúdez,@DiazCanelB,222,150,3030,3210,24687,2,2024-09-07 12:45:04,https://pbs.twimg.com/media/GW5QMryXMAEBgdG.jpg,
1832092019461874016,"En su natal Guanajay y en toda #Cuba no hay acontecimiento más comentado: Yunier Fernández es campeón paralímpico. Felicidades muchacho, gracias por estremecer a la Patria con tu ejemplo, talento, gratitud y fidelidad. ¡Nos emocionaste mucho! https://t.co/ofNlUw3LEP",https://x.com/DiazCanelB/status/1832092019461874016,tweet,Miguel Díaz-Canel Bermúdez,@DiazCanelB,267,156,3166,3304,26458,6,2024-09-06 10:22:30,https://pbs.twimg.com/media/GWzl78IWMAABLoP.jpg,
1832042279298547902,"Nuestra gratitud y reconocimiento a la Dirección de Seguridad Personal en el 63 aniversario de ese prestigioso y entregado equipo. Como escribiera Raúl: “quienes hemos sido y somos protegidos por ustedes, los consideramos además parte de nuestras familias”. Un abrazo, compañeros. https://t.co/Q0rXujPBQk",https://x.com/DiazCanelB/status/1832042279298547902,tweet,Miguel Díaz-Canel Bermúdez,@DiazCanelB,218,103,2366,2455,27479,2,2024-09-06 07:04:51,https://pbs.twimg.com/media/GWy4s-QXQAEpcfK.jpg,
1832020624182522099,"""La humanidad debe tomar conciencia de lo que hemos sido y de lo que no podemos seguir siendo. Hoy nuestra especie ha adquirido conocimientos, valores éticos y recursos científicos suficientes para marchar hacia una nueva etapa histórica de verdadera justicia y humanismo."" https://t.co/n97m4AO5w8",https://x.com/DiazCanelB/status/1832020624182522099,tweet,Miguel Díaz-Canel Bermúdez,@DiazCanelB,563,227,4393,4506,42760,13,2024-09-06 05:38:48,https://pbs.twimg.com/media/GWylDJ4XsAEPcpP.jpg,
