id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1894166480184340870,"¡Hoy es un día histórico para México!

Este 24 de febrero, en el Día de nuestra Bandera Nacional, símbolo de nuestra identidad, historia y soberanía, inicia de manera formal una gran misión: la construcción del partido político Movimiento Viva México.

El Instituto Nacional Electoral (INE) ha autorizado oficialmente el proceso de conformación del partido, un paso fundamental para todos aquellos que defendemos la vida, la familia y la libertad.

Durante años, millones de mexicanos han esperado una alternativa política que represente con autenticidad sus valores y aspiraciones. Hoy, con este paso decisivo, asumimos un compromiso histórico: consolidar un movimiento que responda al clamor de un pueblo que exige un cambio real.

Este no solo será un nuevo partido, es el despertar de una fuerza nacional. Una fuerza que protegerá con firmeza nuestra cultura, nuestras raíces y el futuro de nuestra nación. Hoy, en este día emblemático, convocamos a todos los patriotas a unirse y ser parte de esta historia.

¡Es el momento de recuperar nuestra nación!
¡Es el momento de luchar por el México que soñamos!
¡Patria, familia y libertad!

Convoco a todos los mexicanos que desean una patria fuerte, soberana y libre a sumarse a este gran movimiento. México nos necesita a todos. La construcción de este partido solo será posible con la participación activa de quienes están dispuestos a trabajar por una nación con principios firmes, justicia verdadera y un futuro de grandeza para nuestras familias y generaciones venideras.

Agradecemos al INE por garantizar los procesos democráticos que permiten a los ciudadanos organizarse y participar en la vida política del país. Con convicción y esperanza, damos este primer paso hacia la consolidación de una alternativa que marcará un nuevo rumbo para México.

A partir de hoy, iniciamos el proceso de afiliación y organización en cada rincón del país. Hacemos un llamado a todos los mexicanos que comparten nuestra visión a unirse, participar y ser protagonistas de un momento que marcará un antes y un después en la política mexicana.

¡La hora ha llegado!
¡Por nuestra gente, por nuestra patria y por nuestra libertad!

Para más información sobre el proceso de afiliación y las próximas acciones del Movimiento Viva México, los invitamos a seguir nuestras redes oficiales y estar atentos a nuestras convocatorias.

#MovimientoVivaMéxico #DíaDeLaBandera #PorMéxico #PatriaFamiliaYLibertad",https://x.com/EVerastegui/status/1894166480184340870,tweet,Eduardo Verástegui,@EVerastegui,579,80,534,2437,94436,76,2025-02-24 17:24:15,,
1894163033162690785,Con mucho cariño les quiero anunciar…,https://x.com/EVerastegui/status/1894163033162690785,tweet,Eduardo Verástegui,@EVerastegui,321,15,97,1666,117484,35,2025-02-24 17:10:33,,
1894162265294704736,¿Estamos listos?,https://x.com/EVerastegui/status/1894162265294704736,tweet,Eduardo Verástegui,@EVerastegui,110,11,62,723,28642,5,2025-02-24 17:07:30,,
1894136224249778496,"Para los medios hegemónicos, la derecha es ultra derecha y la izquierda radical es simplemente izquierda. Así es, así ha sido y así será hasta que les pongamos un alto y se topen con pared. 

Venimos a despertar corazones y motivar conciencias, no a ser cómplices del mal. ¡Juntos somos más fuertes!",https://x.com/EVerastegui/status/1894136224249778496,tweet,Eduardo Verástegui,@EVerastegui,106,12,146,700,24225,4,2025-02-24 15:24:01,,
1894120753013952819,"Muy interesante el hilo, ahora vayan y denuncien a todos los implicados en sus afirmaciones. 

Si alguno de los mencionados resulta culpable, que caiga todo el peso de la ley sobre cualquiera que haya puesto una mano encima a un niño. Pero hagan algo aún más útil que un hilo de",https://x.com/EVerastegui/status/1894120753013952819,retweet,Jean Carlo Portillo,@jeancarlopmag,0,0,42,0,-,0,2025-02-24 14:22:33,,
1894120249487753322,"Estos sí son responsables de la muerte de millones de bebés en el vientre.
El aborto ha sido el genocidio más grande de la historia de la humanidad.

Condenamos el nazismo, el comunismo, el socialismo, la cultura de la muerte, las ideologías del género, la Agenda 2030 y toda cosa",https://x.com/EVerastegui/status/1894120249487753322,retweet,Eduardo Verástegui,@EVerastegui,0,0,746,0,-,0,2025-02-24 14:20:33,,
1894120116805153125,"Lo que debería ser tendencia es la inseguridad a la que temen millones de mexicanos. 

Deberían ser tendencia los millones de niños víctimas de trata. El incremento del crimen organizado y sus víctimas.

Pero la izquierda adora desviar la atención de lo verdaderamente importante, https://t.co/HbELYykvE0",https://x.com/EVerastegui/status/1894120116805153125,retweet,Eduardo Verástegui,@EVerastegui,0,0,223,0,-,0,2025-02-24 14:20:01,,
1894092427436138721,🧐,https://x.com/EVerastegui/status/1894092427436138721,tweet,Eduardo Verástegui,@EVerastegui,59,1,74,418,18279,4,2025-02-24 12:29:59,,
1894092067745181931,"¡Viva nuestra Bandera Nacional Mexicana! 🇲🇽

Esta es la única bandera que nos representa a todos los mexicanos; aquí cabemos todos.

Nuestra Bandera Nacional es símbolo de identidad, orgullo y unidad para todos los mexicanos. Su historia se remonta a la lucha por la Independencia, cuando Miguel Hidalgo y los insurgentes comenzaron a utilizar el estandarte de la Virgen de Guadalupe para representar la causa libertaria.

El diseño actual fue adoptado oficialmente el 24 de febrero de 1821, cuando Agustín de Iturbide y Vicente Guerrero proclamaron el Plan de Iguala, estableciendo los colores verde, blanco y rojo como emblema de la nueva nación. Más tarde, en 1823, se incorporó el águila real devorando una serpiente sobre un nopal, inspirado en la historia de la fundación de México-Tenochtitlán.

Desde entonces, nuestra bandera ha evolucionado, pero siempre ha representado los valores de independencia, unidad y libertad. Cada 24 de febrero celebramos el Día de la Bandera para honrar su legado y reafirmar nuestro compromiso con México.

¡Viva México! 🇲🇽",https://x.com/EVerastegui/status/1894092067745181931,tweet,Eduardo Verástegui,@EVerastegui,134,1,77,427,22699,2,2025-02-24 12:28:34,,
1894069513915961672,"En estos momentos, nuestra oración y solidaridad están con el Papa Francisco, pidiendo a Dios que le conceda fortaleza, salud y una pronta recuperación.

Como católicos, sabemos del poder de la oración. Por ello, los invito a unirnos en oración por la salud del Santo Padre.

Que la Virgen de Guadalupe lo cubra con su manto y que el Espíritu Santo le conceda fuerza y salud.

¡Ánimo, Santo Padre! México ora por usted.",https://x.com/EVerastegui/status/1894069513915961672,tweet,Eduardo Verástegui,@EVerastegui,373,15,236,2172,62130,24,2025-02-24 10:58:56,https://pbs.twimg.com/media/GkkWLxwXMAAcGE9.jpg,
