id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1834672677157527572,"Texas se robará inversiones de empresas mexicanas.

El gobierno del republicano Gregg Abbott en Texas ha lanzado una agresiva estrategia para captar miles de millones de dólares en inversiones extranjeras.

Texas, con una economía robusta que supera por sí sola a la de países https://t.co/jppnDL5CwV",https://x.com/FelipeCalderon/status/1834672677157527572,retweet,LuisCardenasMX,@LuisCardenasMx,0,0,418,0,1,0,2024-09-13 13:17:07,,
1834665791842927040,Válgame,https://x.com/FelipeCalderon/status/1834665791842927040,retweet,Pascal,@beltrandelrio,0,0,593,0,-,0,2024-09-13 12:49:45,,
1834645299446661458,"El agrónomo Octavio Romero Oropeza, tras su ""exitosa"" gestión al frente de PEMEX, es premiado por @Claudiashein como titular del INFONAVIT.

¡A robar se ha dicho! 

No tienen llenadera. https://t.co/RMDj4uidA8",https://x.com/FelipeCalderon/status/1834645299446661458,retweet,Jorge Triana,@JTrianaT,0,0,3689,0,-,0,2024-09-13 11:28:20,,
1834645155992780942,"La educación privada es el problema.
En donde estudiaste?
En el Tec de Monterrey.

 https://t.co/jja6XbF7nt",https://x.com/FelipeCalderon/status/1834645155992780942,retweet,Arturo M,@arumalts,0,0,3290,0,-,0,2024-09-13 11:27:45,https://pbs.twimg.com/ext_tw_video_thumb/1143238968131096578/pu/img/HcV0ZRbG8HklIFE0.jpg,https://video.twimg.com/ext_tw_video/1143238968131096578/pu/vid/1280x720/AL77gB5dvflBY0lH.mp4?tag=10
1834641753955061930,"Sabe bien que destruyó nuestras capacidades operativas, por eso apela a la buena voluntad de los criminales. y voy a decir algo que traté de evitar, pero ya lo saben los criminales:

López quiere un gran desfile militar que drena recursos y medios que se necesitan no solo en",https://x.com/FelipeCalderon/status/1834641753955061930,retweet,Emilio Cosgaya Rodríguez,@cosgaya_emilio,0,0,1669,0,-,0,2024-09-13 11:14:14,,
1834637198404018589,Qué buen discurso .,https://x.com/FelipeCalderon/status/1834637198404018589,tweet,Felipe Calderón 🇲🇽,@FelipeCalderon,0,10,650,1431,37595,66,2024-09-13 10:56:08,,
1834635358559993905,"Sí, la realidad se llama extorsión",https://x.com/FelipeCalderon/status/1834635358559993905,retweet,Pascal,@beltrandelrio,0,0,1579,0,-,0,2024-09-13 10:48:50,,
1834635303404904796,"#México 🇲🇽!

Mire nada más qué día escogió pdte @lopezobrador_ para censurarme!

Recordó los tiempos en que lo censuraban a usted... Y bloquea todo acceso para mi.

Yo afuera de #PalacioNacional viendo la #Mañanera, el buen bolero me dejó tapar mi cel de la lluvia.

-Dispensen 📹 https://t.co/YJcv3BUnio",https://x.com/FelipeCalderon/status/1834635303404904796,retweet,Reyna Haydee Ramírez,@rynram,0,0,3728,0,-,0,2024-09-13 10:48:36,,
1834634013144748523,"⁦@SalCamarena:⁩ “Marko Cortés es el mejor ejemplo de cómo no proceder. El martes en el debate en el Senado puso a su partido en la picota… En vez de dejar a Yunes hundirse solito en lo inexplicable, le rogaba, le llamaba amigo”. De verdad, qué pena. https://t.co/ieqm7Vpgg3",https://x.com/FelipeCalderon/status/1834634013144748523,tweet,Felipe Calderón 🇲🇽,@FelipeCalderon,664,38,875,2548,55934,19,2024-09-13 10:43:29,,
1834609414604501331,Muy bueno,https://x.com/FelipeCalderon/status/1834609414604501331,tweet,Felipe Calderón 🇲🇽,@FelipeCalderon,0,2,36,111,11451,0,2024-09-13 09:05:44,,
1834609364964937756,"Un presidente del PP y otro del PSOE reciben a Edmundo González como presidente electo de Venezuela. 

No es un debate ideológico sino moral.

Verdad o mentira.

Democracia o dictadura. 

Civilización o barbarie. https://t.co/dXDIWC4A4u",https://x.com/FelipeCalderon/status/1834609364964937756,retweet,Cayetana Álvarez de Toledo,@cayetanaAT,0,0,5613,0,-,0,2024-09-13 09:05:32,,
1834601964572663883,Se referirá a Buenavista Tomatlán?,https://x.com/FelipeCalderon/status/1834601964572663883,tweet,Felipe Calderón 🇲🇽,@FelipeCalderon,0,2,45,135,14606,0,2024-09-13 08:36:08,,
1834601616944636310,"Desde que este tribunal y el INE de Lorenzo Córdova rechazó el registro de México Libre, nada nos debe sorprender. ¡Cuidado Jalisco!",https://x.com/FelipeCalderon/status/1834601616944636310,retweet,Margarita Zavala,@Mzavalagc,0,0,165,0,-,0,2024-09-13 08:34:45,,
1834600023289483591,"Coca Cola suspendió temporalmente sus operaciones en Puente de Ixtla, Morelos, por la inseguridad en la zona. El fin de semana, 4 camiones de la empresa fueron secuestrados y su mercancía robada: https://t.co/dQT9V1nXTc",https://x.com/FelipeCalderon/status/1834600023289483591,retweet,Ciro Gómez Leyva,@CiroGomezL,0,0,2122,0,-,0,2024-09-13 08:28:25,,
