id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1892322213895835938,"Hacemos un llamado al presidente de la Mesa Directiva del Senado para que, con urgencia, convoque encuentros entre una Comisión Plural del @senadomexicano y legisladores de Estados Unidos y Canadá. Es momento de poner sobre la mesa, con claridad y firmeza, los temas de aranceles, https://t.co/OIS71TgIe5",https://x.com/JorgeGarcesMx/status/1892322213895835938,retweet,Alejandro Moreno,@alitomorenoc,0,0,406,0,-,0,2025-02-19 15:15:48,,
1892320185547149528,"Los habitantes de la CDMX que tengan una propiedad superior a los 4.5 MDP ahora están obligados a presentar una declaración informando la ocupación de su casa.

Es el primer paso para después expropiar las propiedades que ellos consideren desocupadas y regalarlas a sus clientelas",https://x.com/JorgeGarcesMx/status/1892320185547149528,retweet,América Rangel,@AmerangelLorenz,0,0,2749,0,-,0,2025-02-19 15:07:44,,
1892316621135368331,Mañana en su conferencia mañanera: https://t.co/bbfUriHIh2,https://x.com/JorgeGarcesMx/status/1892316621135368331,retweet,Victor Hernández,@ZomVick,0,0,780,0,-,0,2025-02-19 14:53:34,https://pbs.twimg.com/media/GkK2jmvXcAAK2U_.jpg,
1892306564356141396,"Gracias a la reforma al poder judicial, bajará un putero de nivel nuestra justicia.

Quiénes estarán velando por la Constitución, interpretando y garantizando la ley, serán culeros con apodos naquísimos como ministra del pueblo, ángel de la justicia y juzgador de la nación jajaj https://t.co/mpq2br0mXM",https://x.com/JorgeGarcesMx/status/1892306564356141396,tweet,Jorge Garcés,@JorgeGarcesMx,4,0,6,42,1230,1,2025-02-19 14:13:36,https://pbs.twimg.com/media/GkLSylbX0AAhbwY.jpg,
1892277515500048731,"El miserable de @JLozanoA se la ha pasado insultando a medio mundo y ahora resulta que quiere denunciar a @callodehacha por incitación al odio y a la violencia jajajaja si te llevas te aguantas, no actúen como los cristales de los woke https://t.co/zUP4UWXBPn",https://x.com/JorgeGarcesMx/status/1892277515500048731,tweet,Jorge Garcés,@JorgeGarcesMx,23,3,19,105,7143,4,2025-02-19 12:18:11,https://pbs.twimg.com/media/GkK4XvkWEAANlt5.jpg,
1892245438108979475,Morenistas al ver que Estados Unidos designó a cárteles mexicanos como organizaciones terroristas globables: https://t.co/QjVTx4pRMT,https://x.com/JorgeGarcesMx/status/1892245438108979475,tweet,Jorge Garcés,@JorgeGarcesMx,55,7,389,1898,33361,41,2025-02-19 10:10:43,https://pbs.twimg.com/media/GkKbMfVXYAAcPg4.jpg,
1892220481220084200,"Jajajaja el corruptazo que admitió que tiene cola que le pisen, tuvo una audiencia con @Pontifex junto a otras legisladoras.

Pero las borró para aparentar poder y que fue a una audiencia solito.

Supongo que @CitlaHM como es muy congruente se va a pronunciar al respecto 😬 https://t.co/nN8y8gVNYd",https://x.com/JorgeGarcesMx/status/1892220481220084200,retweet,Carlos Torres,@CarlosTorresF_,0,0,86,0,-,0,2025-02-19 08:31:33,,
1892220127413719287,"No, la verdad es que no me gusta que asalten en los restaurantes...

Estos troles cada día están peor 😂 https://t.co/EZ2dRUCMoc",https://x.com/JorgeGarcesMx/status/1892220127413719287,retweet,Ana,@Anaro74,0,0,904,0,-,0,2025-02-19 08:30:08,https://pbs.twimg.com/media/GkGowlGaUAARnTC.jpg,
1892038962799079770,¿Me ayudan a etiquetar a @JLozanoA hasta que acepte el debate que EL MISMO PROPUSO? 🤣 https://t.co/syCUERongo,https://x.com/JorgeGarcesMx/status/1892038962799079770,retweet,Callo de Hacha,@callodehacha,0,0,1296,0,-,0,2025-02-18 20:30:15,https://pbs.twimg.com/amplify_video_thumb/1892038344525099008/img/ASN7stedrT1MKklj.jpg,https://video.twimg.com/amplify_video/1892038344525099008/vid/avc1/1080x1920/0XYrsxt99n77zYX5.mp4?tag=16
1892031132331352423,"México corre dos riesgos: los aranceles de Trump y el cobro de piso del crimen organizado.

No olvidemos que varias empresas han cerrado o huido por amenazas y extorsiones de grupos criminales.",https://x.com/JorgeGarcesMx/status/1892031132331352423,retweet,Obdulio Ávila Mayo,@obdulioA,0,0,63,0,-,0,2025-02-18 19:59:08,,
