id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1762105136585773324,"El presidente de 🇲🇽 confirmó cosas alarmantes.
Pero lo que diga importará cada vez menos. 
El presidente ya se va.
Lo que importa es lo que diga su candidata. 
¿Qué piensa @Claudiashein de la conducta de @lopezobrador_ ?
Mi columna en @El_Universal_Mx 

https://t.co/BwtCPKX7fq",https://twitter.com/LeonKrauze/status/1762105136585773324,tweet,León Krauze,@LeonKrauze,118,22,498,1144,23026,18,2024-02-26 07:19:37,,
1762095186379678022,"¿Y qué piensa Claudia Sheinbaum?

“López Obrador ya se va. La “no reelección” será (esperemos) el único valladar que lo detenga. Su heredera, su hija política, pretende heredar el mando. Tiene muchas preguntas que responder.”

⁦@LeonKrauze⁩  https://t.co/VHAcsJPAS9",https://twitter.com/LeonKrauze/status/1762095186379678022,retweet,Manuel Díaz,@diaz_manuel,0,0,119,0,-,0,2024-02-26 06:40:05,,
1761622912274936017,"Merecíamos más, @CruzAzul 
Algo me dice que nos veremos más adelante con el AME.
Hasta entonces.",https://twitter.com/LeonKrauze/status/1761622912274936017,tweet,León Krauze,@LeonKrauze,87,12,41,556,41823,1,2024-02-24 23:23:26,,
1761491866711740857,"Hoy, otra vez, el presidente me ataca.

Lo hace con mentiras (algunas hilarantes).

Hora de recordar que, cuando mi trabajo periodístico se concentraba en sus oponentes, merecía reconocimiento.

Hoy, que mi periodismo y mi opinión se concentran en él y le incomodan, merezco oprobio y la (risible) revelación de mi “salario”.

El asunto, presidente, es que el periodismo auténtico permanece.

El poder se acaba.",https://twitter.com/LeonKrauze/status/1761491866711740857,tweet,León Krauze,@LeonKrauze,951,202,4904,12173,332404,197,2024-02-24 14:42:42,https://pbs.twimg.com/amplify_video_thumb/1761491806250799104/img/pS8usiaI14AvSWil.jpg,https://video.twimg.com/amplify_video/1761491806250799104/vid/avc1/640x360/NT94D_g-od7OX5wZ.mp4?tag=14
1761440283743375702,"Un momento extraordinario.
Fox News interrumpe cobertura del discurso de Trump para aclarar las mentiras y tergiversaciones del expresidente. 
En tiempo real, para evitar la desinformación.
Esta debería ser la práctica estándar, no regalar tiempo aire al parloteo deshonesto y la propaganda.",https://twitter.com/LeonKrauze/status/1761440283743375702,tweet,León Krauze,@LeonKrauze,370,108,2039,5270,266246,66,2024-02-24 11:17:44,,
1761440211408408887,"Un momento extraordinario.
Fox News interrumpe cobertura del discurso de Trump para aclarar las mentiras y tergiversaciones del expresidente. 
En tiempo real, para evitar la desinformación.
Esta debería ser la práctica estándar, no regalar tiempo aire al parloteo deshonesto y la propaganda.",https://twitter.com/LeonKrauze/status/1761440211408408887,tweet,León Krauze,@LeonKrauze,422,68,2034,5928,284635,72,2024-02-24 11:17:27,,
1761417827108413846,"Russian officials have given Alexei Navalny's body back to his mother, following a week of stalling, obfuscation, and threats to let it rot.

Remains to be seen if the Kremlin, clearly fearful of a large crowd of supporters, lets him have a proper funeral in Moscow.",https://twitter.com/LeonKrauze/status/1761417827108413846,retweet,max seddon,@maxseddon,0,0,355,0,-,0,2024-02-24 09:48:30,,
1761417147417313523,"Después de una semana tan complicada, les dejo uno de mis momentos favoritos de los últimos años en televisión.

La gran Helen Mirren leyendo Tennyson para y con el gran @StephenAtHome 

https://t.co/youbw0xzBJ",https://twitter.com/LeonKrauze/status/1761417147417313523,tweet,León Krauze,@LeonKrauze,4,0,8,56,12061,4,2024-02-24 09:45:48,,
1761399343238561989,"Un presidente narco que, después de años, enfrenta la justicia.
Hay que leer a @penileyramirez https://t.co/KkQAeMGT4r",https://twitter.com/LeonKrauze/status/1761399343238561989,tweet,León Krauze,@LeonKrauze,1008,272,3115,6501,214393,163,2024-02-24 08:35:03,https://pbs.twimg.com/media/GHG_XYXXMAAIah2.jpg,
1761245150037082441,"“[The authorities] feared him when he was alive, and they fear him now his dead.” As Muscovites continue to lay flowers for Alexei Navalny, his mother is said to be resisting pressure to agree to a ‘secret funeral.’ Our latest report from Moscow. Camera @AntonChicherov https://t.co/131SRDSBKG",https://twitter.com/LeonKrauze/status/1761245150037082441,retweet,Steve Rosenberg,@BBCSteveR,0,0,450,0,1,0,2024-02-23 22:22:20,,
