id,tweetText,tweetURL,type,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1769206978490831110,"@Reikko_vt Provechito, genia 😋😋",https://x.com/undefined/status/1769206978490831110,tweet,@undefined,8,0,0,18,18536,0,2024-03-16 21:39:48,,
1656454375324385280,@virgerosa Mujer de cultura 😎👏🏽👏🏽,https://x.com/undefined/status/1656454375324385280,tweet,@undefined,5,0,1,31,35459,0,2023-05-10 18:21:13,,
1656074983913955329,@carlosdriotis Qué nivel de regalo 😎👌🏽,https://x.com/undefined/status/1656074983913955329,tweet,@undefined,3,0,1,17,15361,1,2023-05-09 17:13:39,,
1653588437939765253,"@PabloBertoldi22 Me da gusto que hayas visto el video! Mucho que analizar, sin duda!",https://x.com/undefined/status/1653588437939765253,tweet,@undefined,1,0,0,12,10826,0,2023-05-02 20:33:00,,
1649242388483776514,@hardmalfuntion Suena maravilloso! 🤯,https://x.com/undefined/status/1649242388483776514,tweet,@undefined,3,0,1,39,16535,0,2023-04-20 20:43:21,,
1649241980994482176,"@nwbfck Jajaja, qué genia 👌🏽🙏🏽",https://x.com/undefined/status/1649241980994482176,tweet,@undefined,1,0,0,12,14684,0,2023-04-20 20:41:44,,
1649241653461372929,"@ieroxfrnk Ya he ido para otros lados también y me han encantado! Hay videos muy buenos en mi canal, los recomiendo 🐦",https://x.com/undefined/status/1649241653461372929,tweet,@undefined,6,0,1,58,15338,0,2023-04-20 20:40:26,,
1648755020249153536,"Saquen el Fernet y échenle Coca. ¡Qué felicidad estar en Argentina, wacho! 🇦🇷😍👏🏽 https://t.co/r2hyqGJWjW",https://x.com/undefined/status/1648755020249153536,tweet,@undefined,981,518,1609,50996,3177615,244,2023-04-19 12:26:43,"https://pbs.twimg.com/media/FuGN8oLXgAAesaK.jpg,https://pbs.twimg.com/media/FuGN8oRXoAAu68d.jpg,https://pbs.twimg.com/media/FuGN8oQX0AAh6A6.jpg,https://pbs.twimg.com/media/FuGN8oOWYAsveW3.jpg",
1648535258273390592,@barbiebenitez_ Espero pronto estar de vuelta en tu precioso país! 🇵🇾😁,https://x.com/undefined/status/1648535258273390592,tweet,@undefined,0,0,0,11,4044,0,2023-04-18 21:53:28,,
1627486918400155648,@CesarWeroDiaz Gracias alv,https://x.com/undefined/status/1627486918400155648,tweet,@undefined,25,0,1,874,187284,2,2023-02-19 19:54:53,,
1627486828558155781,"@andree_amaro Jajajaja. Alv, fue lejos tu comentario 😂🤣😅",https://x.com/undefined/status/1627486828558155781,tweet,@undefined,15,1,1,1143,124404,0,2023-02-19 19:54:31,,
1627486744223354880,@OscarMonge8 Gracias gracias 👏🏽,https://x.com/undefined/status/1627486744223354880,tweet,@undefined,36,2,1,666,203968,0,2023-02-19 19:54:11,,
1627486242949439491,"@octavio7788 Wey, pero cosas muy feas se están diciendo de mí y me gustaría que se callaran ALV",https://x.com/undefined/status/1627486242949439491,tweet,@undefined,322,53,32,4075,245422,6,2023-02-19 19:52:12,,
1627432179482480641,@Mark_VAMED @santiagopgm Cree que los precios no cambian y que las aerolíneas tienen tarifas fijas.,https://x.com/undefined/status/1627432179482480641,tweet,@undefined,5,0,0,66,26,0,2023-02-19 16:17:22,,
1627431633702776832,"@miguepeniche @santiagopgm Gracias, Miguel! Lo quiero aclarar para mis seguidores, porque esta situación me tiene de verdad envergado. Jajajaja. Aprecio mucho tu comentario 👌🏽",https://x.com/undefined/status/1627431633702776832,tweet,@undefined,9,0,1,310,21879,0,2023-02-19 16:15:12,,
1627422806672658432,"@santiagopgm Wey, puse las capturas en mi video. Aparte tú estás cotizando para un lunes, yo para un viernes. Hasta parece que no viajas.",https://x.com/undefined/status/1627422806672658432,tweet,@undefined,36,5,12,1886,57736,2,2023-02-19 15:40:07,,
1627421287399280641,"@ArturoMendeaz Wey, también dije cosas malas. Que está todo vacío, que lo abrieron apresurados, que es muy caro llegar. Pero no ven el video, solo leen encabezados.",https://x.com/undefined/status/1627421287399280641,tweet,@undefined,61,0,24,4083,201363,5,2023-02-19 15:34:05,,
1627421070662803459,@SebasOnce01 La neta 😎,https://x.com/undefined/status/1627421070662803459,tweet,@undefined,30,1,3,2518,183239,1,2023-02-19 15:33:13,,
1627420994888507393,@crowsittoo Gracias por este comentario! ❤️❤️,https://x.com/undefined/status/1627420994888507393,tweet,@undefined,9,0,0,1434,149983,0,2023-02-19 15:32:55,,
