id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1832885333228392665,"Es una verdadera pena y vergüenza que los senadores de Morena, excluyan y se nieguen a escuchar a jóvenes universitarios, académicos, especialistas, profesionistas y organismos internacionales, dándole la espalda al pueblo de México.

Si tan seguros están de la reforma, ¿por qué les tienen miedo?",https://x.com/MarkoCortes/status/1832885333228392665,tweet,Marko Cortés,@MarkoCortes,1255,55,829,2925,90402,36,2024-09-08 14:54:51,,
1832877272233378107,"Así nuestra llegada al @senadomexicano para discutir en comisiones la destructiva reforma judicial del régimen morenista.

México, no estás solo, cuentas con las y los @SenadoresdelPAN para defender las instituciones, la democracia y la autonomía del Poder Judicial🇲🇽 https://t.co/oYnD6Sv3UV",https://x.com/MarkoCortes/status/1832877272233378107,tweet,Marko Cortés,@MarkoCortes,319,15,559,1851,30436,16,2024-09-08 14:22:49,https://pbs.twimg.com/amplify_video_thumb/1832876965382012928/img/C2XzJBkBdeERBpnl.jpg,https://video.twimg.com/amplify_video/1832876965382012928/vid/avc1/540x960/tBHaxtW_E4zdMYyV.mp4?tag=16
1832789038610227436,"Respaldar la reforma judicial del presidente, es debilitar el Estado de Derecho y politizar la justicia, es permitir la intervención de la delincuencia organizada en la votación y elección de jueces, magistrados y ministros, lo que, sin duda, abriría la puerta al narcotráfico para que se apodere del Poder Judicial.

📍https://t.co/77B23Oj2I5",https://x.com/MarkoCortes/status/1832789038610227436,tweet,Marko Cortés,@MarkoCortes,261,33,187,655,26466,7,2024-09-08 08:32:13,https://pbs.twimg.com/media/GW9f6hWXEAA538t.jpg,
1832485522347790736,"¡Felicidades amigo gobernador @makugo por tu #3erInformeKuri!

Eres un ejemplo de los grandes gobiernos de @AccionNacional. En Querétaro se invierte en seguridad, en certeza jurídica, salud, movilidad y educación, todo para mejorar el bienestar de las familias. https://t.co/b8Ko7Vjpvp",https://x.com/MarkoCortes/status/1832485522347790736,tweet,Marko Cortés,@MarkoCortes,97,3,52,188,10496,2,2024-09-07 12:26:09,"https://pbs.twimg.com/media/GW5L3bzWUAAPG1m.jpg,https://pbs.twimg.com/media/GW5L3b2WMAA8myw.jpg,https://pbs.twimg.com/media/GW5L3bvWQAApnbp.jpg,https://pbs.twimg.com/media/GW5L3bwWkAAK8hc.jpg",
1832446848969080894,"Exijo al Gobierno federal y a Morena que dejen de presionar con las fiscalías a las y los senadores de oposición, que ya dejen de intentar sobornarlos,, que acepten que en el Senado de la República el pueblo de México no les dio una mayoría calificada para hacer lo que quieran con nuestra Constitución, que reconozcan que más del 43% de las y los mexicanos no votaron por ustedes, que quieren equilibrios y contrapesos de poder.

Mexico necesita 43 senadores valientes #PresentesyFirmes",https://x.com/MarkoCortes/status/1832446848969080894,tweet,Marko Cortés,@MarkoCortes,1947,177,2358,7341,315864,103,2024-09-07 09:52:28,,
1831855008070967594,"#SoloUnTraidor de la oposición podría ausentarse y darle la mayoría calificada al régimen morenista. Personalmente, ya los 43 senadores y senadoras de @AccionNacional, del Partido Revolucionario Institucional y de Movimiento Ciudadano se han comprometido a votar en contra de la destructiva y regresiva reforma judicial.

Ahora exijamos QUE NADIE SE RAJE.",https://x.com/MarkoCortes/status/1831855008070967594,tweet,Marko Cortés,@MarkoCortes,881,62,1051,3912,136633,45,2024-09-05 18:40:42,,
1831798858038571318,"Pueden cambiar de sede, pero aquí estamos #UnidosYFirmes las y los @SenadoresdelPAN.

Una vez más lo decimos con claridad, México cuenta con @AccionNacional. https://t.co/ENpIXYGIDm",https://x.com/MarkoCortes/status/1831798858038571318,tweet,Marko Cortés,@MarkoCortes,254,12,225,882,21320,7,2024-09-05 14:57:35,"https://pbs.twimg.com/media/GWvbVs9WQAAwFNP.jpg,https://pbs.twimg.com/media/GWvbVs8WsAEhgzQ.jpg,https://pbs.twimg.com/media/GWvbVtBWoAERol0.jpg",
1831497025340502472,"Es un gran honor para mi, formar parte de #Los300 @LideresMexicano por 9 años consecutivos.

Gracias por el reconocimiento, seguiré luchando por un mejor país, así como defendiendo las libertades y la democracia. https://t.co/tOLgilduu9",https://x.com/MarkoCortes/status/1831497025340502472,tweet,Marko Cortés,@MarkoCortes,299,30,46,288,43863,8,2024-09-04 18:58:13,"https://pbs.twimg.com/media/GWrI1cDXIAA59JB.jpg,https://pbs.twimg.com/media/GWrI1cGXIAAOko7.jpg",
1831076959331262681,"Siempre hay un tuit…
¿O ya cambiamos de parecer @RicardoMonrealA?",https://x.com/MarkoCortes/status/1831076959331262681,tweet,Marko Cortés,@MarkoCortes,145,11,563,1403,41889,12,2024-09-03 15:09:01,,
1831033077188923632,"Muy mal inicia una Legislatura que tiene que huir de su sede ante la protesta social. ¿Por qué no escuchan a los jóvenes universitarios y a los trabajadores del Poder Judicial? ¿Acaso ellos no son pueblo?

Senadores y diputados morenistas, petistas y verde ecologistas, durante toda la legislatura les recordaremos que su mayoría es ilegítima y artificial, les exigiremos que escuchen al 43% de la ciudadanía que no votó por ustedes.

México cuenta y contará con @AccionNacional, nosotros resistiremos, convencidos que tarde que temprano, la ciudadanía les pasará la cuenta.",https://x.com/MarkoCortes/status/1831033077188923632,tweet,Marko Cortés,@MarkoCortes,874,51,652,2483,109511,34,2024-09-03 12:14:39,,
