id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1836876651109494888,Los mexicanos no votamos por la construcción de un gobierno autoritario. https://t.co/2C0NEEaoPZ,https://x.com/PagesBeatriz/status/1836876651109494888,tweet,Beatriz Pagés,@PagesBeatriz,245,9,605,1296,14936,16,2024-09-19 15:14:55,https://pbs.twimg.com/ext_tw_video_thumb/1836873941555507200/pu/img/PVzt4mtkSd6Ar6MC.jpg,https://video.twimg.com/ext_tw_video/1836873941555507200/pu/vid/avc1/720x1280/ruKLJ05kBw29-CTf.mp4?tag=12
1836415262066712626,Claudia Sheinbaum tiene la gran oportunidad de pasar a la historia como la presidenta que salvó la democracia mexicana. https://t.co/PVgdUnAvHY,https://x.com/PagesBeatriz/status/1836415262066712626,tweet,Beatriz Pagés,@PagesBeatriz,47,3,107,232,3393,8,2024-09-18 08:41:32,https://pbs.twimg.com/ext_tw_video_thumb/1836414337012875264/pu/img/eSLEufsIDEGmAak9.jpg,https://video.twimg.com/ext_tw_video/1836414337012875264/pu/vid/avc1/720x1280/PI1ND_OX_RUXifx8.mp4?tag=12
1836106456443003343,"México está atravesado por un momento crítico, ya se sumó Ernesto Zedillo ¿En dónde están
Enrique Peña Nieto@EPN y Carlos Salinas de Gortari? https://t.co/VER1zSdGzr",https://x.com/PagesBeatriz/status/1836106456443003343,tweet,Beatriz Pagés,@PagesBeatriz,454,37,848,1715,30326,23,2024-09-17 12:14:27,https://pbs.twimg.com/ext_tw_video_thumb/1836106336993476608/pu/img/iIBwNjZckzqgEl75.jpg,https://video.twimg.com/ext_tw_video/1836106336993476608/pu/vid/avc1/720x1280/XHuOZTEHrXgbmfML.mp4?tag=12
1836061442057085069,"Acompáñame 🔴en vivo ahora en @AtypicalTeve 

https://t.co/er8iD10M3f",https://x.com/PagesBeatriz/status/1836061442057085069,tweet,Beatriz Pagés,@PagesBeatriz,6,0,13,47,1511,0,2024-09-17 09:15:34,,
1836034179688980810,Nos vemos todos los martes y jueves en @AtypicalTeve https://t.co/WYErVDy6rd,https://x.com/PagesBeatriz/status/1836034179688980810,tweet,Beatriz Pagés,@PagesBeatriz,21,1,86,255,2802,0,2024-09-17 07:27:14,https://pbs.twimg.com/media/GXrnWzgW0AAjqs1.jpg,
1834993190262424062,El voto que apesta https://t.co/9R3KPTS6wD,https://x.com/PagesBeatriz/status/1834993190262424062,tweet,Beatriz Pagés,@PagesBeatriz,65,14,312,625,6723,6,2024-09-14 10:30:43,,
1834747381113618754,"La #ReformaAlPoderJudicial nació moralmente muerta. Es hija del chantaje, la traición, el secuestro y la complicidad. Sin Yunes no habría Morena, ni López Obrador, ni  Cuarta Transformación.
#Mexico https://t.co/txxeTdur9B",https://x.com/PagesBeatriz/status/1834747381113618754,tweet,Beatriz Pagés,@PagesBeatriz,470,46,2567,4685,73708,78,2024-09-13 18:13:58,https://pbs.twimg.com/ext_tw_video_thumb/1834747225672761346/pu/img/CEtHegBYQJ9NFf9K.jpg,https://video.twimg.com/ext_tw_video/1834747225672761346/pu/vid/avc1/720x480/w3v3aPKnvP_w8wyX.mp4?tag=12
1834583754846687549,"Yunes tiene absoluta conciencia de su traición a México.
#YunesTraidoresALaPatria https://t.co/s6WNeZx42P",https://x.com/PagesBeatriz/status/1834583754846687549,tweet,Beatriz Pagés,@PagesBeatriz,109,6,441,928,10318,13,2024-09-13 07:23:46,https://pbs.twimg.com/ext_tw_video_thumb/1834583283297869824/pu/img/7xKrB4Ruw8Bs8OaU.jpg,https://video.twimg.com/ext_tw_video/1834583283297869824/pu/vid/avc1/720x1280/qfT5pE2NKDfhbOmg.mp4?tag=12
1834577775589835208,"El voto de “los Yunes Márquez y Linares” es el voto que apesta. Símbolo y resumen de la parte más oscura y mal oliente de la política mexicana. Son los representantes de esa oposición que, en la corrupción lleva su fragilidad y derrota. 
https://t.co/VuBUepk0p5 https://t.co/WXD28aUYiT",https://x.com/PagesBeatriz/status/1834577775589835208,tweet,Beatriz Pagés,@PagesBeatriz,459,41,2584,4162,42221,20,2024-09-13 07:00:01,https://pbs.twimg.com/media/GXUY0nBXgAAgN2E.jpg,
1834346341159358477,El voto de los Yunes es un voto que apesta. https://t.co/rSLQX22hQq,https://x.com/PagesBeatriz/status/1834346341159358477,tweet,Beatriz Pagés,@PagesBeatriz,345,11,708,1619,19474,23,2024-09-12 15:40:22,https://pbs.twimg.com/ext_tw_video_thumb/1834345997960351744/pu/img/bsfliopumFCFYxND.jpg,https://video.twimg.com/ext_tw_video/1834345997960351744/pu/vid/avc1/720x1280/AoQfRZHbmPpSmlDm.mp4?tag=12
