id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1832930904395886867,Meme aplicable para varios momentos del sexenio* https://t.co/0jGvge68Hd,https://x.com/PonchoGutz/status/1832930904395886867,tweet,Poncho Gutiérrez,@PonchoGutz,85,6,1077,3999,50728,27,2024-09-08 17:55:56,https://pbs.twimg.com/media/GW_g5oPW8AA02nB.jpg,
1832914341613494375,"El ahora senador Marko Cortés aseguró que cuando le reclamó al PRI las notarías prometidas en Coahuila fue para ""transparentar el ejercicio público"". https://t.co/NVWVdMjI5N",https://x.com/PonchoGutz/status/1832914341613494375,tweet,Poncho Gutiérrez,@PonchoGutz,450,105,1820,4638,56698,28,2024-09-08 16:50:07,https://pbs.twimg.com/media/GW_R4FRWEAEjE-0.jpg,
1832895456067887501,¿Qué clase de Bárbara Tijerina es esto?,https://x.com/PonchoGutz/status/1832895456067887501,tweet,Poncho Gutiérrez,@PonchoGutz,225,18,605,2671,52096,48,2024-09-08 15:35:04,,
1832892647540695380,@MaximusCentauro ¿Por qué? Te leo.,https://x.com/PonchoGutz/status/1832892647540695380,tweet,Poncho Gutiérrez,@PonchoGutz,6,0,1,25,576,0,2024-09-08 15:23:55,,
1832889520402137144,"@esnoticiaalesal Un severo caso de Atypicalitis aguda.

Síntomas:

-Supuesta superioridad.
-Clasismo
-Desinformación extrema
-Fobia a cosas ficticias
-""Lo dijo Loret""
-""Todos son iguales pero Morena es más igual""
-Insulto",https://x.com/PonchoGutz/status/1832889520402137144,tweet,Poncho Gutiérrez,@PonchoGutz,27,1,64,368,7807,3,2024-09-08 15:11:29,,
1832889142734197017,"Un severo caso de Atypicalitis aguda.

Síntomas:

-Supuesta superioridad.
-Clasismo
-Desinformación extrema
-Fobia a cosas ficticias
-""Lo dijo Loret""
-""Todos son iguales pero Morena es más igual""
-Insulto",https://x.com/PonchoGutz/status/1832889142734197017,tweet,Poncho Gutiérrez,@PonchoGutz,59,7,378,1087,21903,34,2024-09-08 15:09:59,,
1832880009943384242,@mespi4 Lee lo que pusiste y luego reflexiona quién es el fanático. Límpiate la saliva.,https://x.com/PonchoGutz/status/1832880009943384242,tweet,Poncho Gutiérrez,@PonchoGutz,8,1,4,78,769,0,2024-09-08 14:33:42,,
1832878582437413315,"@maximoam_ Cada vez es más frecuente este tipo de cosas y hasta son aplaudidas en Twitter porque al cabo ""ni periodistas son"".

Vean el discursito peligroso de los ""imparciales"" cuando se trata de minimizar agresiones. Y ni hablar del silencio de ""los defensores de la libertad de expresión""",https://x.com/PonchoGutz/status/1832878582437413315,tweet,Poncho Gutiérrez,@PonchoGutz,33,1,74,284,3974,1,2024-09-08 14:28:01,,
1832878557678510361,"Cada vez es más frecuente este tipo de cosas y hasta son aplaudidas en Twitter porque al cabo ""ni periodistas son"".

Vean el discursito peligroso de los ""imparciales"" cuando se trata de minimizar agresiones. Y ni hablar del silencio de ""los defensores de la libertad de expresión""",https://x.com/PonchoGutz/status/1832878557678510361,tweet,Poncho Gutiérrez,@PonchoGutz,96,11,1009,2087,34440,9,2024-09-08 14:27:56,,
1832877831648416117,@arnemx @maximoam_ ¿Estás justificando una agresión?,https://x.com/PonchoGutz/status/1832877831648416117,tweet,Poncho Gutiérrez,@PonchoGutz,3,0,2,59,800,0,2024-09-08 14:25:02,,
1832831509000011840,"¿Ustedes cómo se enteraron de ""cómo se hacían los bebés""? Yo lo entendí en cuarto de primaria con un chiste de Pepito. https://t.co/PAYI83geHX",https://x.com/PonchoGutz/status/1832831509000011840,tweet,Poncho Gutiérrez,@PonchoGutz,34,2,28,266,8613,1,2024-09-08 11:20:58,https://pbs.twimg.com/media/GW-Gf91WoAAO_Fm.png,
1832624834313855281,"@osvadado De reggaetón? Daddy, Maluma y Ozuna.",https://x.com/PonchoGutz/status/1832624834313855281,tweet,Poncho Gutiérrez,@PonchoGutz,3,0,0,5,407,0,2024-09-07 21:39:43,,
1832622406197797063,"Sábado de reggaetón.

A disfrutar lo rebotado.",https://x.com/PonchoGutz/status/1832622406197797063,tweet,Poncho Gutiérrez,@PonchoGutz,28,2,29,371,10010,3,2024-09-07 21:30:04,,
1832603751707820118,"Chale, con estos tuits parece que les urge que la aprueben.",https://x.com/PonchoGutz/status/1832603751707820118,tweet,Poncho Gutiérrez,@PonchoGutz,55,5,176,1170,28832,10,2024-09-07 20:15:57,,
