id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1888311360528044441,"🚨#ÚLTIMAHORA | La presidenta Claudia Sheinbaum declara que su gobierno sigue solicitando que ESPAÑA pida perdón a MÉXICO. 

Anunció que se está trabajando para llevar exposición del año de la Mujer Indígena a España y que contemplen la GRANDEZA de nuestro país. https://t.co/iqYik3129K",https://x.com/YosoyPedrero/status/1888311360528044441,retweet,Manuel Pedrero,@YosoyPedrero,0,0,364,0,-,0,2025-02-08 13:38:06,,
1888311333097230338,"🚨#ÚLTIMAHORA | La Suprema Corte está VIOLANDO la CONSTITUCIÓN. 

La presidenta Claudia Sheinbaum señaló que por sus opiniones personales, intentaron parar la elección judicial, y que sus opiniones no pueden estar por encima de la ley. https://t.co/NuFzVR96HP",https://x.com/YosoyPedrero/status/1888311333097230338,retweet,Manuel Pedrero,@YosoyPedrero,0,0,382,0,-,0,2025-02-08 13:37:59,,
1888311319176335451,"“Por eso siempre les pregunto, ¿qué creen que hizo Calderón? ¿Alguna obra?”

La presidenta Claudia Sheinbaum criticó la sobre explotación petrolera que hicieron los gobiernos panistas de forma irresponsable. https://t.co/cegPhTdeWv",https://x.com/YosoyPedrero/status/1888311319176335451,retweet,Manuel Pedrero,@YosoyPedrero,0,0,954,0,-,0,2025-02-08 13:37:56,,
1888278587134087561,"Periodistas vs youtubers?

No mamen!

Yo estuve en @Excelsior y en @Letras_Libres y con @AristeguiOnline 

Y hoy mi máximo orgullo es ser independiente y que mis trabajos lleven años difundiéndose con @_VicenteSerrano y @YosoyPedrero!

Ahí está el periodismo actualmente! https://t.co/yK2oRYEgtQ",https://x.com/YosoyPedrero/status/1888278587134087561,retweet,Ricardo Sevilla Gutiérrez,@sevillacritico,0,0,673,0,-,0,2025-02-08 11:27:52,,
1887886721116688708,"“Por eso siempre les pregunto, ¿qué creen que hizo Calderón? ¿Alguna obra?”

La presidenta Claudia Sheinbaum criticó la sobre explotación petrolera que hicieron los gobiernos panistas de forma irresponsable. https://t.co/cegPhTdeWv",https://x.com/YosoyPedrero/status/1887886721116688708,tweet,Manuel Pedrero,@YosoyPedrero,329,12,954,2478,48046,29,2025-02-07 09:30:44,https://pbs.twimg.com/amplify_video_thumb/1887886633019609088/img/Yfq5bCluFdQUjH9D.jpg,https://video.twimg.com/amplify_video/1887886633019609088/vid/avc1/886x476/laNdej7H9zZYWsN0.mp4?tag=16
1887880225377198220,"🚨#ÚLTIMAHORA | La Suprema Corte está VIOLANDO la CONSTITUCIÓN. 

La presidenta Claudia Sheinbaum señaló que por sus opiniones personales, intentaron parar la elección judicial, y que sus opiniones no pueden estar por encima de la ley. https://t.co/NuFzVR96HP",https://x.com/YosoyPedrero/status/1887880225377198220,tweet,Manuel Pedrero,@YosoyPedrero,45,1,382,1149,18458,12,2025-02-07 09:04:55,https://pbs.twimg.com/amplify_video_thumb/1887880006220627968/img/MxB6VQw6PoOzuabt.jpg,https://video.twimg.com/amplify_video/1887880006220627968/vid/avc1/886x486/rZTr0p0BOqSEkhBS.mp4?tag=16
1887877746811928627,"#OJO: “Ellos en su territorio y nosotros en el nuestro”.

La presidenta Claudia Sheinbaum informó que en su llamada con Donald Trump, lo puso al tanto del tráfico de armas ilegales que llegan de EEUU a México. https://t.co/ZYYi8uIwJ3",https://x.com/YosoyPedrero/status/1887877746811928627,tweet,Manuel Pedrero,@YosoyPedrero,40,2,166,553,7404,7,2025-02-07 08:55:04,https://pbs.twimg.com/amplify_video_thumb/1887877564116414464/img/8T7dNmvbrEf35s6T.jpg,https://video.twimg.com/amplify_video/1887877564116414464/vid/avc1/886x488/D5PoK50bq7XRPZPE.mp4?tag=16
1887871518123725084,"🚨#ÚLTIMAHORA | La presidenta Claudia Sheinbaum mandó mensaje a Estados Unidos: QUE SE OCUPEN PRIMERO DE SU PAÍS. 

Coordinación y colaboración sí, pero no subordinación. https://t.co/g3wZY8TqAm",https://x.com/YosoyPedrero/status/1887871518123725084,tweet,Manuel Pedrero,@YosoyPedrero,128,7,294,797,14175,13,2025-02-07 08:30:19,https://pbs.twimg.com/amplify_video_thumb/1887870910343921664/img/zMsMpi6wM917An-d.jpg,https://video.twimg.com/amplify_video/1887870910343921664/vid/avc1/886x484/P4OD89Z-tIkK0bwW.mp4?tag=16
1887866819555340491,"🚨#ÚLTIMAHORA | La presidenta Claudia Sheinbaum declara que su gobierno sigue solicitando que ESPAÑA pida perdón a MÉXICO. 

Anunció que se está trabajando para llevar exposición del año de la Mujer Indígena a España y que contemplen la GRANDEZA de nuestro país. https://t.co/iqYik3129K",https://x.com/YosoyPedrero/status/1887866819555340491,tweet,Manuel Pedrero,@YosoyPedrero,388,23,364,1181,44738,28,2025-02-07 08:11:39,https://pbs.twimg.com/amplify_video_thumb/1887866686973308930/img/APqcPQcdWvgbtfz4.jpg,https://video.twimg.com/amplify_video/1887866686973308930/vid/avc1/886x484/fTeMkI1hBxm3VZUU.mp4?tag=16
1887848829040615831,#MañaneraPresidenta | DESTITUYEN al FISCAL de MORELOS por ENCUBRIR F3M1NICID0S https://t.co/NFii6yPkfE,https://x.com/YosoyPedrero/status/1887848829040615831,tweet,Manuel Pedrero,@YosoyPedrero,63,1,176,415,6462,4,2025-02-07 07:00:10,,
