id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1873485561039872252,Falleció el expresidente estadunidense Jimmy Carter,https://x.com/beltrandelrio/status/1873485561039872252,tweet,Pascal,@beltrandelrio,25,1,63,377,15287,0,2024-12-29 15:45:40,,
1873322196317458458,"Al momento, el saldo de este accidente es de 177 fallecidos.",https://x.com/beltrandelrio/status/1873322196317458458,tweet,Pascal,@beltrandelrio,21,0,80,313,14986,2,2024-12-29 04:56:30,,
1873305549028418002,"El nuevo gobierno también busca descarrilar el proceso de adhesión de Georgia a la Unión Europea. En los próximos días, veremos si el plan de Moscú de apoderarse de instituciones e imponer gobiernos en países que le son estratégicos tiene éxito en ese rincón del Cáucaso.",https://x.com/beltrandelrio/status/1873305549028418002,tweet,Pascal,@beltrandelrio,2,1,19,79,4415,0,2024-12-29 03:50:21,,
1873305545035419941,"Kavelashvili, ex jugador del Manchester City, fue candidato por el partido Sueño Georgiano, manejado por el empresario Bidzina Ivanishvi, quien evidentemente está sirviendo los intereses del Vladimir Putin. El gobierno entrante ha amenazado con encarcelar a Zourabichvili.",https://x.com/beltrandelrio/status/1873305545035419941,tweet,Pascal,@beltrandelrio,3,1,13,66,4993,0,2024-12-29 03:50:20,,
1873305539612168588,"No perder de vista lo que está ocurriendo en Georgia, donde hace unas horas tomó posesión como presidente el ex futbolista Mikheil Kavelashvili, elegido en comicios no reconocidos por la presidenta Salomé Zourabichvili ni por miles de georgianos que protestan en las calles.",https://x.com/beltrandelrio/status/1873305539612168588,tweet,Pascal,@beltrandelrio,14,1,205,845,14647,5,2024-12-29 03:50:19,,
1873188759090675810,"Un 737-800 estalla al posarse sobre la pista del aeropuerto de Muan, Corea del Sur, sin tren de aterrizaje. Hay al menos 28 muertos entre los 181 ocupantes del avión, que venía llegando de Bangkok https://t.co/k9IL25YSph",https://x.com/beltrandelrio/status/1873188759090675810,tweet,Pascal,@beltrandelrio,47,8,246,940,113422,34,2024-12-28 20:06:16,https://pbs.twimg.com/amplify_video_thumb/1873176483885207552/img/nBT-WRIyKP3D3CsZ.jpg,https://video.twimg.com/amplify_video/1873176483885207552/vid/avc1/886x488/LotROC5BPQ842D6p.mp4?tag=16
1873082771075183057,"Sin admitir la culpa por el derribo del avión de Azerbaijan Airlines, el presidente ruso Vladimir Putin pide perdón a Azerbaiyán por la “trágica” caída de la aeronave el día de Navidad  https://t.co/SXN1pwb4vQ",https://x.com/beltrandelrio/status/1873082771075183057,tweet,Pascal,@beltrandelrio,5,0,29,89,7400,1,2024-12-28 13:05:07,,
1872747715056288017,@NoContextBrits @duolingo 🏴󠁧󠁢󠁳󠁣󠁴󠁿 English,https://x.com/beltrandelrio/status/1872747715056288017,tweet,Pascal,@beltrandelrio,0,0,0,21,3689,0,2024-12-27 14:53:43,,
1872224160489082974,Y siguen las noticias sobre la aviación comercial. Japan Airlines informa que sus sistemas fueron blanco de un ciberataque.,https://x.com/beltrandelrio/status/1872224160489082974,tweet,Pascal,@beltrandelrio,11,1,210,853,26830,3,2024-12-26 04:13:18,,
1872020054151446977,Otro caso raro en la aviación comercial. Un vuelo de Turkish Airlines da vuelta en u al norte de Islandia y vuelve a Estambul. Se desconocen por ahora las causas.,https://x.com/beltrandelrio/status/1872020054151446977,tweet,Pascal,@beltrandelrio,15,1,151,691,62952,12,2024-12-25 14:42:16,,
1871989790339707304,"Existen indicios de que el avión Embraer de Azerbaijan Airlines que tenía como destino Grozni habría sufrido algún tipo de ataque, probablemente desde un dron. Una pasajera sufrió heridas en una pierna y la parte de la cabina donde iba sentada se notaba con agujeros.",https://x.com/beltrandelrio/status/1871989790339707304,tweet,Pascal,@beltrandelrio,19,1,226,672,40002,28,2024-12-25 12:42:00,,
1871923379474928006,Feliz Navidad 🎄,https://x.com/beltrandelrio/status/1871923379474928006,tweet,Pascal,@beltrandelrio,149,4,89,1769,22233,3,2024-12-25 08:18:06,,
1871875496482586836,Información actualizada indica que son 32 los sobrevivientes del avionazo en Kazajistán (Fuente: BBC). Sigue sin estar claro qué provocó la caída del avión.,https://x.com/beltrandelrio/status/1871875496482586836,tweet,Pascal,@beltrandelrio,8,0,94,359,16919,5,2024-12-25 05:07:50,,
1871858087168278846,"De acuerdo con esta versión, los sistemas de navegación del avión de Azerbaijan Airlines que se estrelló hoy en Kazajistán pudieron haber sido hackeados cuando se aproximaba a su destino, en Grozni, Chechenia, Rusia.",https://x.com/beltrandelrio/status/1871858087168278846,tweet,Pascal,@beltrandelrio,6,1,63,192,14154,5,2024-12-25 03:58:40,,
1871856145255793141,"Ya que estamos hablando hoy de cosas difíciles de entender en la aviación comercial, ¿qué tal este vuelo de Qantas, que iba de Sydney a Johanesburgo, y regresó a Australia luego de más de nueve horas de vuelo y de casi haber alcanzado la Antártida?",https://x.com/beltrandelrio/status/1871856145255793141,tweet,Pascal,@beltrandelrio,15,1,71,389,32040,7,2024-12-25 03:50:57,,
1871853537375699324,"La experiencia de HTS gobernando la provincia siria de Idlib ha sido autoritaria en extremo. Ese parece ser el futuro del país, ahora que el grupo controla Damasco.  https://t.co/BEtw3LcHTR",https://x.com/beltrandelrio/status/1871853537375699324,tweet,Pascal,@beltrandelrio,0,0,13,42,5003,0,2024-12-25 03:40:35,,
1871846676933062944,"La sonda espacial Parker se acerca a sólo 6.2 millones de kilómetros del Sol, lo más cerca que ha estado cualquier nave. Si completa su misión, enviará información muy valiosa para el conocimiento del astro. Su sistema de enfriamiento es asombroso.  https://t.co/qyRqZcCyBg",https://x.com/beltrandelrio/status/1871846676933062944,tweet,Pascal,@beltrandelrio,8,0,121,527,9123,6,2024-12-25 03:13:19,,
1871844568842617176,Hombres armados disparan contra periodistas que habían sido convocados a una conferencia de prensa en Haití para anunciar la reapertura de un hospital que había sido recuperado del control de criminales. Hay dos reporteros y un policía muertos. https://t.co/JOU8u76Zbd,https://x.com/beltrandelrio/status/1871844568842617176,tweet,Pascal,@beltrandelrio,0,0,12,47,5162,0,2024-12-25 03:04:57,,
1871840340048761242,"@GuillermoBGR Lo que aún no entiendo, capitán, es qué hacía tan lejos de su ruta https://t.co/xx1et6OZ3a",https://x.com/beltrandelrio/status/1871840340048761242,tweet,Pascal,@beltrandelrio,3,0,0,15,1767,0,2024-12-25 02:48:08,https://pbs.twimg.com/media/Gfoc3ASWwAAiHJu.jpg,
1871840014558249436,"Éste es uno de los videos que se han difundido sobre los últimos momentos de vuelo de un avión Embraer 190 de la compañía Azerbaijan Airlines, que se estrelló hoy en Kazajistán. Habría 14 sobrevivientes, de 67 a bordo https://t.co/QbvAc11Gox",https://x.com/beltrandelrio/status/1871840014558249436,tweet,Pascal,@beltrandelrio,86,18,1022,5043,982924,692,2024-12-25 02:46:51,https://pbs.twimg.com/ext_tw_video_thumb/1871824825976524800/pu/img/BlBmJlaU69qPlIHe.jpg,https://video.twimg.com/ext_tw_video/1871824825976524800/pu/vid/avc1/720x1280/XJTS3Z5tZZ-IFR27.mp4?tag=12
1871836963525062689,"Un avión de la aerolínea azerí, que realizaba un vuelo de Bakú (Azerbaiyán) a Grozni (Chechenia, Rusia) se estrelló en Atkau (Kazajistán). Milagrosamente, parece haber algunos sobrevivientes. No queda claro por qué voló hasta el lado opuesto del Caspio https://t.co/evqGzvkL5A https://t.co/zfnfXuTYMo",https://x.com/beltrandelrio/status/1871836963525062689,tweet,Pascal,@beltrandelrio,19,3,176,632,92527,35,2024-12-25 02:34:43,"https://pbs.twimg.com/media/GfoZymSXIAApmcp.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1871828261509931008/pu/img/r1zgK-oDDwusZADN.jpg",https://video.twimg.com/ext_tw_video/1871828261509931008/pu/vid/avc1/480x878/r1jwVJ_h9FLc6xuo.mp4?tag=12
1871626502758109448,"@GDB181 “Meet the new boss / same as the old boss”. 

The Who",https://x.com/beltrandelrio/status/1871626502758109448,tweet,Pascal,@beltrandelrio,0,0,0,8,445,0,2024-12-24 12:38:26,,
1871605024658522170,Y el nepotismo que hoy practican es el mismo que ELLOS antes decían deplorar.,https://x.com/beltrandelrio/status/1871605024658522170,tweet,Pascal,@beltrandelrio,79,16,1305,3891,53943,14,2024-12-24 11:13:05,,
1871574877070917936,"@AsvazadourianJP Le même pour vous, cher Jean-Pierre",https://x.com/beltrandelrio/status/1871574877070917936,tweet,Pascal,@beltrandelrio,0,0,0,19,633,0,2024-12-24 09:13:17,,
1871364176695988709,"@ggalarzamx @GuillermoBGR ¡Abrazote, querido Gerardo!",https://x.com/beltrandelrio/status/1871364176695988709,tweet,Pascal,@beltrandelrio,0,0,0,4,154,0,2024-12-23 19:16:02,,
1871254909347102974,"@GuillermoBGR Igualmente, capitán.",https://x.com/beltrandelrio/status/1871254909347102974,tweet,Pascal,@beltrandelrio,1,0,0,7,578,0,2024-12-23 12:01:51,,
1871252176854512045,"Antes de que nos agarren las prisas, aprovecho para desear a todos una FELIZ NAVIDAD. https://t.co/Os2w4zTphB",https://x.com/beltrandelrio/status/1871252176854512045,tweet,Pascal,@beltrandelrio,443,10,446,3933,40302,11,2024-12-23 11:50:59,https://pbs.twimg.com/media/GfgF7lDXcAA4rRi.jpg,
