id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1834745976210477331,QUE BIEN APRENDIERON LOS DE MORENA LAS LECCIONES DE AL CAPONE. RATAS HDSPM !!!¡Vaya forma de lograr la reforma! EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO!!!https://t.co/16knZJUuvn vía @El_Universal_Mx,https://x.com/carlosalazraki/status/1834745976210477331,retweet,Carlos Alazraki,@carlosalazraki,0,0,134,0,-,0,2024-09-13 18:08:23,,
1834662174142165239,QUE BIEN APRENDIERON LOS DE MORENA LAS LECCIONES DE AL CAPONE. RATAS HDSPM !!!¡Vaya forma de lograr la reforma! EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO!!!https://t.co/16knZJUuvn vía @El_Universal_Mx,https://x.com/carlosalazraki/status/1834662174142165239,tweet,Carlos Alazraki,@carlosalazraki,59,1,134,275,5469,3,2024-09-13 12:35:23,,
1834462130843910479,"Con ustedes, la flamante directora del canal 11. 

 https://t.co/cBpziBNT5T",https://x.com/carlosalazraki/status/1834462130843910479,retweet,Carlos González Baños,@GalgoGB,0,0,1952,0,-,0,2024-09-12 23:20:29,https://pbs.twimg.com/ext_tw_video_thumb/1143238968131096578/pu/img/HcV0ZRbG8HklIFE0.jpg,https://video.twimg.com/ext_tw_video/1143238968131096578/pu/vid/1280x720/AL77gB5dvflBY0lH.mp4?tag=10
1832134451716927507,"QUE FACILIDAD TIENE ANDRES PARA ENGAÑAR A LA GENTE !!!
ESTA CABROOOONNN !!!Verdaderas mentiras
EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO  !!!https://t.co/khbt54aCwr vía @El_Universal_Mx",https://x.com/carlosalazraki/status/1832134451716927507,tweet,Carlos Alazraki,@carlosalazraki,50,0,80,163,7606,1,2024-09-06 13:11:07,,
1829568555420889454,"EL HDSPM LOGRO SUS OBJETIVOS. LA DICTADURA. LO LOGRO CON LOS TRAIDORES DEL INE Y DEL TRIBUNAL.
PINCHES TRAIDORES DE MIERDA!!! Patear el pesebre EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO!!https://t.co/3Nm0L2aafQ vía @El_Universal_Mx",https://x.com/carlosalazraki/status/1829568555420889454,tweet,Carlos Alazraki,@carlosalazraki,158,7,200,566,15394,9,2024-08-30 11:15:10,,
1828148341966020727,"FAMILIA X :
LES PRESENTO A LOS CONSEJEROS DEL INE QUE TRAICIONARON A MEXICO.
¡¡¡ TRAIDORES Y TRAIDORAS HDSPM !!!!https://t.co/A2x7fzEiO6",https://x.com/carlosalazraki/status/1828148341966020727,tweet,Carlos Alazraki,@carlosalazraki,313,17,338,647,23072,5,2024-08-26 13:11:44,,
1827119770954813910,"POR CIERTO..
LA PRÓXIMA SEMANA EL TRIBUNAL ELECTORAL TAMBIÉN NOS VAN A TEAICIONAR.
YA SE VENDIERON 3 MAGISTRADOS:
MONICA SOTO SU PRESIDENTA.
YANINE OTALORA
Y FELIPE DE LA MATA.
TRAIDORES HDSPM !!!",https://x.com/carlosalazraki/status/1827119770954813910,tweet,Carlos Alazraki,@carlosalazraki,499,19,687,1864,42924,7,2024-08-23 17:04:34,,
1827116554951217357,"SE CONSUMO LA DICTADURA. 
LES DESEO LO PEOR A LOS CONSEJEROS DEL INE QUE VOTARON A FAVOR.
PINCHES TRAIDORES Y TRAIDORAS  DE MIERDA  !!!",https://x.com/carlosalazraki/status/1827116554951217357,tweet,Carlos Alazraki,@carlosalazraki,1541,97,2749,9492,231167,45,2024-08-23 16:51:47,,
1827024998961430585,"INICIÓ LA DICTADURA !!!
EL INE, EL TEJF, ANDRES, CLAUDIA Y TODA SU BOLA DE LAMEHUEVOS NOS TRAICIONARON. HDSPM !!!Transformar la transformación EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO. https://t.co/h5vrNku4dZ vía @El_Universal_Mx",https://x.com/carlosalazraki/status/1827024998961430585,tweet,Carlos Alazraki,@carlosalazraki,350,24,324,663,18729,8,2024-08-23 10:47:58,,
1824518281040216143,"PRESIDENTE MILEI:
BIENVENIDO A MEXICO. EL SENTIR DE LOS MEXICANOS NO COINCIDE CON ANDRES. EL ES UN AMARGADO. Amigos en pausa EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO MUCHO !!https://t.co/kVLdEYYssk vía @eluniversal",https://x.com/carlosalazraki/status/1824518281040216143,tweet,Carlos Alazraki,@carlosalazraki,714,36,257,869,38632,6,2024-08-16 12:47:10,,
1822132358994428316,LA PREGUNTA DEL AÑO: ¿ CLAUDIA SERA ESTADISTA O SERA MEROLICA COMO ANDRES EN SUS MAÑANERAS ? Mañaneras con Claudia EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN. SE LOS RECOMIENDO !!! https://t.co/zWL46MDojj a través de @El_Universal_Mx,https://x.com/carlosalazraki/status/1822132358994428316,tweet,Carlos Alazraki,@carlosalazraki,204,7,142,367,14852,6,2024-08-09 22:46:22,,
1819417102920319146,LA BASURA DE MADURO SE VA AL.PURGATORIO. ES CUESTION DE DIAS.PERO QUE SE VA... SE VA !!!Fraude anunciado EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO  !!!https://t.co/SItDeAjArA vía @eluniversal,https://x.com/carlosalazraki/status/1819417102920319146,tweet,Carlos Alazraki,@carlosalazraki,41,1,64,184,5156,1,2024-08-02 10:56:55,,
1816865302858100984,DICTADURA O DEMOCRACIA DEPENDEN DE 3 MAGISTRADOS. QUE HORROR  !!!!No a la sobrerrepresentación EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO. https://t.co/K0YvzlldY2 vía @El_Universal_Mx,https://x.com/carlosalazraki/status/1816865302858100984,tweet,Carlos Alazraki,@carlosalazraki,34,0,39,109,4316,2,2024-07-26 09:56:58,,
1814367333822898500,TRUMP TRUMP TRUMP !!!REGRESA LA FIEBRE BUBONICA !!!RESURRECCIÓN EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO  !!!https://t.co/0y9JP755o1 vía @El_Universal_Mx,https://x.com/carlosalazraki/status/1814367333822898500,tweet,Carlos Alazraki,@carlosalazraki,24,1,18,30,4414,0,2024-07-19 12:30:56,,
1811779430743966129,"ALITO:
¿ Y EL SUFRAGIO EFECTIVO NO REELECCIÓN DONDE QUEDO ? Cisma en el Pri EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO  !!https://t.co/TsT9lWpSFr vía @eluniversal",https://x.com/carlosalazraki/status/1811779430743966129,tweet,Carlos Alazraki,@carlosalazraki,52,0,12,50,9572,0,2024-07-12 09:07:32,,
1809260631708856564,LA BASURA DE MONREAL ES LA PRUEBA MAS CLARA DE QUE NO SOLAMENTE HAY LINEA SINO QUE ES UN LAMEHUEVOS DE SU MAJESTAD. La línea es que sí hay línea EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO https://t.co/UvEHMK4Wqz vía @El_Universal_Mx,https://x.com/carlosalazraki/status/1809260631708856564,tweet,Carlos Alazraki,@carlosalazraki,136,6,275,544,14402,3,2024-07-05 10:18:43,,
1808882774138630218,Un MILLÓN de GRACIAS @storybaker_ Y A TODA LA FAMILIA ATYPICAL 😺😺😽😽,https://x.com/carlosalazraki/status/1808882774138630218,tweet,Carlos Alazraki,@carlosalazraki,43,1,34,186,8711,0,2024-07-04 09:17:15,,
1806750097071546662,"LOS FOROS CON LOS DIPUTADOS TRAIDORES DE MORENA, VALEN ABSOLUTAMENTE MADRE. LA DECISION ESTA TOMADA. Debatir lo inminente EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO. https://t.co/gvz0uiWI01 vía @eluniversal",https://x.com/carlosalazraki/status/1806750097071546662,tweet,Carlos Alazraki,@carlosalazraki,79,2,36,98,9274,1,2024-06-28 12:02:45,,
1804233569302384855,¡¡ QUE ASCO !! QUE EL RECTOR DE LA UNAM NO APOYE A SUS PROPIOS AGREMIADOS EN EL ANALISIS DE LA TRAMPOSA REFORMA JUDICIAL. VAYA COBARDIA¿Qué se tienen que meter? EXTRAORDINARIO ARTICULO https://t.co/HYgJ8hQpqm a través de @El_Universal_Mx,https://x.com/carlosalazraki/status/1804233569302384855,tweet,Carlos Alazraki,@carlosalazraki,178,3,127,344,23260,2,2024-06-21 13:22:58,,
1801710826270974451,"CLAUDIA :¿¿¿  PODRA O NO PODRA ??? ESA ES LA PREGUNTA...Atender a dos amos  EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN. SE LOS RECOMIENDO MUCHO !!!
https://t.co/mfk5Jf4uDq a través de @El_Universal_Mx",https://x.com/carlosalazraki/status/1801710826270974451,tweet,Carlos Alazraki,@carlosalazraki,122,3,31,81,18377,0,2024-06-14 14:18:29,,
1799084513836109991,"LA LOBA VESTIDA DE CORDERO. ¡¡ AGUAS !! LO PEOR ESTA POR LLEGAR
¡Ya ganamos…ya perdimos! EXTRAORDINARIO ARTICULO DE JOSE RUBINSTEIN SE LOS RECOMIENDO MUCHO  !!https://t.co/Ysr8r7h93f vía @eluniversal",https://x.com/carlosalazraki/status/1799084513836109991,tweet,Carlos Alazraki,@carlosalazraki,258,7,97,280,38942,3,2024-06-07 08:22:28,,
