id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1886917047831159027,@varamburucano Es curioso que ellos mismos no se den cuenta. La identidad misma de esta gente está ligada a la existencia del expresidente. Por lo menos deberían reconocerle que les dio una razón de ser. No es poca cosa.,https://x.com/fede_bonasso/status/1886917047831159027,tweet,Federico Bonasso,@fede_bonasso,3,0,4,29,493,0,2025-02-04 17:17:36,,
1886886776629027158,"@somoscorta Defiende el derecho a la vida y apoya (apasionadamente) a un gobierno que asesina y mutila niños que no se pueden defender, en Gaza. Mayor agresión al “proyecto de vida del otro” no puede concebirse. “Mi ideología”, dice después. No tiene ideología. Es un farsante.",https://x.com/fede_bonasso/status/1886886776629027158,tweet,Federico Bonasso,@fede_bonasso,6,2,55,260,2318,3,2025-02-04 15:17:18,,
1886882162135519575,"@Francis91319014 En todos lados hay mezquinos y oportunistas, Francisco. En todos lados. Lo importante es distinguir los proyectos políticos. Por más que puedan estar contaminados por gente sin escrúpulos, siempre hay que estar a favor de los proyectos políticos de justicia social.",https://x.com/fede_bonasso/status/1886882162135519575,tweet,Federico Bonasso,@fede_bonasso,0,0,2,2,44,0,2025-02-04 14:58:58,,
1886873071220338955,@F4L4Z @pablo_majluf 🤣🤣,https://x.com/fede_bonasso/status/1886873071220338955,tweet,Federico Bonasso,@fede_bonasso,0,0,0,2,344,0,2025-02-04 14:22:51,,
1886829066184987020,Nunca descartes el poder de la envidia. Nunca subestimes el daño que pueden causar los acomplejados. Nunca desestimes la mezquindad y la imbecilidad humanas. Y mucho menos en política.,https://x.com/fede_bonasso/status/1886829066184987020,tweet,Federico Bonasso,@fede_bonasso,42,8,264,933,12155,11,2025-02-04 11:27:59,,
1886559133576650984,@PonchoGutz Qué fácil y qué hueva.,https://x.com/fede_bonasso/status/1886559133576650984,tweet,Federico Bonasso,@fede_bonasso,7,0,22,280,3905,1,2025-02-03 17:35:22,,
1886077954792280068,"Cuesta creer el grado de abyección de algunos ante Trump. Luego hay que entender: vienen de esas clases y mafias a las que AMLO dejó en calzones. Son fantasmas en busca de un ego pulverizado. Son antiobradoristas antes que mexicanos. Ta bien, pues; cada cual su identidad.",https://x.com/fede_bonasso/status/1886077954792280068,tweet,Federico Bonasso,@fede_bonasso,134,27,639,1838,40952,24,2025-02-02 09:43:20,,
1885944691297788086,@LillyTellez Farsante.,https://x.com/fede_bonasso/status/1885944691297788086,tweet,Federico Bonasso,@fede_bonasso,10,0,34,283,3220,0,2025-02-02 00:53:48,,
1885889120855060573,Todo el apoyo a nuestra presidenta. Magnífica respuesta a la agresión unilateral del gobierno de Estados Unidos.,https://x.com/fede_bonasso/status/1885889120855060573,tweet,Federico Bonasso,@fede_bonasso,78,7,417,1642,16634,7,2025-02-01 21:12:59,,
1885824387103809691,"@PedroArb Qué fácil que es mentir, caballerito. No cuesta. No está penalizado. Pero usted hace, como todo irresponsable, un oso público.",https://x.com/fede_bonasso/status/1885824387103809691,tweet,Federico Bonasso,@fede_bonasso,6,0,29,234,1384,0,2025-02-01 16:55:45,,
1885799139742511462,"@normitalk @alvaro_delgado @SergioSarmiento A mí me gustaría preguntarte alguna vez a @SergioSarmiento personalmente si él se considera un liberal en serio o sólo lo es de forma declarativa. Creer (por ejemplo) que Milei es un verdadero liberal, es ser o muy candoroso o muy cínico.",https://x.com/fede_bonasso/status/1885799139742511462,tweet,Federico Bonasso,@fede_bonasso,2,0,1,7,81,0,2025-02-01 15:15:26,,
1885795982438203449,"No parece sensato torcer la realidad física en función de nuestras creencias, deseos o identidades. (No afirmo con esto que la “realidad física” sea fácil de aprehender). Sigue vigente la resistencia de mucha gente a incluir ciertos elementos biológicos a la hora de analizar las relaciones humanas y las sociedades. Descalificando como “determinismo” un intento de profundizar dicho análisis. Le pasa incluso a algunos biólogos.",https://x.com/fede_bonasso/status/1885795982438203449,tweet,Federico Bonasso,@fede_bonasso,0,0,0,0,156,0,2025-02-01 15:02:53,,
1885781537133600777,"@alvaro_delgado @SergioSarmiento Sarmiento, en el candor autoimpuesto en el que vive desde hace años, debe creer que Cayetana es una liberal genuina. O al menos ha recibido la instrucción de pretender venderla de esa manera.",https://x.com/fede_bonasso/status/1885781537133600777,tweet,Federico Bonasso,@fede_bonasso,11,0,108,465,3903,1,2025-02-01 14:05:29,,
1885466145722945918,"@AlinaDuarte_ @OJcamacho @azulalzaga @DeRaizMedia @CanalRedLat Felicitaciones, Alina! Gran trabajo.",https://x.com/fede_bonasso/status/1885466145722945918,tweet,Federico Bonasso,@fede_bonasso,0,0,4,18,307,0,2025-01-31 17:12:14,,
1885392105100452197,"@Marchupia @cesarpinedar Es cierto. Pero también se ha filtrado el dogma neoliberal en países que no vivieron dictaduras. Y, curiosamente, se filtró hasta en la academia.",https://x.com/fede_bonasso/status/1885392105100452197,tweet,Federico Bonasso,@fede_bonasso,1,0,0,2,72,0,2025-01-31 12:18:01,,
1885386679793471509,"Este no es un episodio anecdótico. En el cuestionamiento que hace Sanders a un negacionista que está por adquirir el control de la salud pública en EU (o lo que queda de ella), se exhibe una de las disputas centrales de nuestros oscuros tiempos: olvidarse o no de la ciencia.",https://x.com/fede_bonasso/status/1885386679793471509,tweet,Federico Bonasso,@fede_bonasso,4,0,33,83,2415,2,2025-01-31 11:56:27,,
1885381686495490491,@CarlosCisn2241 @cesarpinedar Correcto. Los lobos detrás del speech son cínicos. Pero no faltan los tontos que reproducen el discurso sin atreverse a dar dos pasos de análisis más profundo.,https://x.com/fede_bonasso/status/1885381686495490491,tweet,Federico Bonasso,@fede_bonasso,0,0,0,1,28,0,2025-01-31 11:36:37,,
1885378488439320848,@cesarpinedar Farsantes. O tontos. O ambas cosas. Lo preocupante es cómo lograron instalar la fe neoliberal en tantos otros.,https://x.com/fede_bonasso/status/1885378488439320848,tweet,Federico Bonasso,@fede_bonasso,10,2,18,117,2121,3,2025-01-31 11:23:54,,
1885377860610748719,"@CortinaDeNube @RompevientoTV @LauraSanchezLey @temoris Muchas gracias, Sofía. ¿Qué te pareció a ti la película?",https://x.com/fede_bonasso/status/1885377860610748719,tweet,Federico Bonasso,@fede_bonasso,0,0,0,1,10,0,2025-01-31 11:21:25,,
1885019748146004328,"@LauraSanchezLey @RompevientoTV Qué gusto compartir mesa contigo en @RompevientoTV , admirada Laura! Y a la espera del regreso del querido @temoris",https://x.com/fede_bonasso/status/1885019748146004328,tweet,Federico Bonasso,@fede_bonasso,4,0,4,14,512,0,2025-01-30 11:38:24,,
1884464386347094289,"@Julianatilano Estupenda noticia, Julián. A disfrutarlo.",https://x.com/fede_bonasso/status/1884464386347094289,tweet,Federico Bonasso,@fede_bonasso,0,0,1,5,166,0,2025-01-28 22:51:36,,
1884461543435161830,@rturrent @KurtHackbarth @AlinaDuarte_ @GranadosCeja @JesusGar Estupendo programa.,https://x.com/fede_bonasso/status/1884461543435161830,tweet,Federico Bonasso,@fede_bonasso,1,0,1,12,260,0,2025-01-28 22:40:18,,
1884260650500907118,"@BettyBlueMF @abrahamendieta @julioastillero @eledesmaa @paezvarela @JorgeArmandoR_ @alvaro_delgado @YosoyPedrero @PabloIglesias Así es, Betty. Los medios de izquierda son un bastión fundamental en estos días.",https://x.com/fede_bonasso/status/1884260650500907118,tweet,Federico Bonasso,@fede_bonasso,0,0,0,1,67,0,2025-01-28 09:22:01,,
1884101080214352327,@abrahamendieta Parece que entre los fachos de hoy hay mucha más estupidez de la que alguna vez calculamos.,https://x.com/fede_bonasso/status/1884101080214352327,tweet,Federico Bonasso,@fede_bonasso,12,0,44,207,1492,1,2025-01-27 22:47:57,,
1884100583319302391,"@RICALFONSIN Respeto para usted, Ricardo. De los pocos radicales que quedan en pie.",https://x.com/fede_bonasso/status/1884100583319302391,tweet,Federico Bonasso,@fede_bonasso,0,0,0,0,115,0,2025-01-27 22:45:58,,
1883962105579315455,"@etiennista @ArturoCrdovaJu1 Fede me dicen mis amigos, querido. Abrazo",https://x.com/fede_bonasso/status/1883962105579315455,tweet,Federico Bonasso,@fede_bonasso,0,0,0,1,74,0,2025-01-27 13:35:42,,
1883960689431323108,"@EdithRQ Gracias, Edith!",https://x.com/fede_bonasso/status/1883960689431323108,tweet,Federico Bonasso,@fede_bonasso,0,0,0,0,6,0,2025-01-27 13:30:05,,
1883844219074445796,"@Edar6819 Bien dicho, Edson.",https://x.com/fede_bonasso/status/1883844219074445796,tweet,Federico Bonasso,@fede_bonasso,0,0,0,1,40,0,2025-01-27 05:47:16,,
1883843709692940429,"@raydavaloss Qué bien lo has dicho, Raymundo.",https://x.com/fede_bonasso/status/1883843709692940429,tweet,Federico Bonasso,@fede_bonasso,0,0,3,2,86,0,2025-01-27 05:45:15,,
1883731619279978720,@fabriziomejia Ya tiene a uno presidiendo la Argentina.,https://x.com/fede_bonasso/status/1883731619279978720,tweet,Federico Bonasso,@fede_bonasso,6,0,19,96,1119,0,2025-01-26 22:19:50,,
1883610715275313197,"@dienterosas Muy importante e inteligente me parece tu reflexión. Sin embargo es inevitable, y útil, distinguir qué tipo de proyectos de sociedad están en disputa.",https://x.com/fede_bonasso/status/1883610715275313197,tweet,Federico Bonasso,@fede_bonasso,0,0,0,3,111,0,2025-01-26 14:19:24,,
1883610317651099750,"@SoylaBruma_ @profe_cortes Me alegro que coincidamos, Pedro. De verdad.",https://x.com/fede_bonasso/status/1883610317651099750,tweet,Federico Bonasso,@fede_bonasso,0,0,0,3,92,0,2025-01-26 14:17:50,,
1883610207366062190,"@EdithRQ Muchas gracias, Edith. Un abrazo a la tan querida tierra de San Luis.",https://x.com/fede_bonasso/status/1883610207366062190,tweet,Federico Bonasso,@fede_bonasso,0,0,0,1,84,0,2025-01-26 14:17:23,,
1883579965758681330,@Mompracem_ De acuerdo con la primera parte de tu respuesta. En total desacuerdo con tu interpretación de lo que es “la agenda woke”.,https://x.com/fede_bonasso/status/1883579965758681330,tweet,Federico Bonasso,@fede_bonasso,2,0,0,1,74,0,2025-01-26 12:17:13,,
1883568086873149481,"Estos puritanos modernos han llegado a: robarle a la población; indicarle a los individuos cómo vivir sus vidas; asesinar niños indefensos y perseguir migrantes; promover golpes de estado o reprimir cuando lo anterior se les dificulta. Curiosamente, han alcanzado el poder político diciéndose defensores de “la propiedad”, “la libertad”, “la vida” y “la democracia”. Ellos, unos farsantes (además de criminales). Y quienes los votaron y apoyan… otra cosa.",https://x.com/fede_bonasso/status/1883568086873149481,tweet,Federico Bonasso,@fede_bonasso,29,5,169,407,6434,8,2025-01-26 11:30:01,,
1883562817053204902,"“La izquierda” finalmente es una idea, América. Lo único que existe, en la realidad, es el bicho humano, con sus angustias, complejos y odios a cuesta. Los tuyos deben ser feroces. Cuéntanos, ¿qué te hizo a ti “la izquierda”? ¿No has alcanzado ya una edad donde sería conveniente dejar de depositar en terceros las causas de tus propias frustraciones?",https://x.com/fede_bonasso/status/1883562817053204902,tweet,Federico Bonasso,@fede_bonasso,17,1,129,473,3528,5,2025-01-26 11:09:05,,
1883558499457929496,"@tesiture Qué preciso resulta, en ciertos contextos, el vocablo “cretino”.",https://x.com/fede_bonasso/status/1883558499457929496,tweet,Federico Bonasso,@fede_bonasso,2,0,4,30,314,0,2025-01-26 10:51:55,,
1883394247338172663,@mario_campa Doy fe de ello. A prepararse. Arranca la censura.,https://x.com/fede_bonasso/status/1883394247338172663,tweet,Federico Bonasso,@fede_bonasso,3,1,24,109,1367,0,2025-01-25 23:59:14,,
1883393506468831283,"@jet1403 @Ricky_leaks_ Se te extrañó fuerte, querido @Ricky_leaks_",https://x.com/fede_bonasso/status/1883393506468831283,tweet,Federico Bonasso,@fede_bonasso,1,0,1,7,179,0,2025-01-25 23:56:18,,
1883364394715009136,"@ChepoGmez1 Por supuesto, Chepo. Muy bien argumentado.",https://x.com/fede_bonasso/status/1883364394715009136,tweet,Federico Bonasso,@fede_bonasso,0,0,0,13,390,0,2025-01-25 22:00:37,,
1883363625840296170,"@asulvanam “Vienen a México”. No, caballero. Yo soy mexicano. No “vengo” a México. Vivo en México. Hace 44 años.",https://x.com/fede_bonasso/status/1883363625840296170,tweet,Federico Bonasso,@fede_bonasso,1,0,1,31,281,0,2025-01-25 21:57:34,,
1883362758764454074,@forozco @Garakas4 Coincido. Yo ya experimento esa maniobra de censura.,https://x.com/fede_bonasso/status/1883362758764454074,tweet,Federico Bonasso,@fede_bonasso,0,0,0,2,27,0,2025-01-25 21:54:07,,
