id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1831341804115067215,"Mañana a las 9 de la noche se estrena el segundo capítulo del documental del Tren Maya: Mar Caribe. La puerta al mundo.

Les invito a verlo. https://t.co/nxFT0uH4Au",https://x.com/lopezobrador_/status/1831341804115067215,tweet,Andrés Manuel,@lopezobrador_,1754,136,4213,12014,310938,197,2024-09-04 08:41:25,https://pbs.twimg.com/media/GWof8XWWMAA_F4m.jpg,https://video.twimg.com/amplify_video/1831310204740239360/vid/avc1/1280x720/OERCiQHFi7LlRzuN.mp4?tag=14
1831321371517014430,"Conferencia de prensa matutina, desde Palacio Nacional https://t.co/rC41ZVVdt6",https://x.com/lopezobrador_/status/1831321371517014430,tweet,Andrés Manuel,@lopezobrador_,617,47,1377,3642,84036,37,2024-09-04 07:20:13,,
1830957477049053465,"El Gabinete de Seguridad sesiona diariamente con el propósito de instaurar la paz, la tranquilidad y la gobernabilidad en el país. Conferencia matutina https://t.co/7c91C9WjOH",https://x.com/lopezobrador_/status/1830957477049053465,tweet,Andrés Manuel,@lopezobrador_,1222,84,1672,4547,112433,26,2024-09-03 07:14:14,,
1830596433428508724,"Nada me hace más feliz que haber logrado, con el apoyo de todas y todos los mexicanos, reducir la pobreza y la desigualdad en el país. Conferencia matutina https://t.co/E9N4A1gkF7",https://x.com/lopezobrador_/status/1830596433428508724,tweet,Andrés Manuel,@lopezobrador_,1820,122,2473,7166,174099,57,2024-09-02 07:19:35,,
1830420402939846944,"En la principal plaza pública del país, el Zócalo de la Ciudad de México, rendí ante el pueblo y la nación mi último informe de gobierno. Gracias de corazón.

Consulta 6° Informe de Gobierno: https://t.co/aJmoIY7RuY https://t.co/LLlourQ341",https://x.com/lopezobrador_/status/1830420402939846944,tweet,Andrés Manuel,@lopezobrador_,3001,357,5697,16731,1006932,433,2024-09-01 19:40:06,https://pbs.twimg.com/media/GWb0zovWIAAzJWZ.jpg,https://video.twimg.com/amplify_video/1830418211579580416/vid/avc1/1280x720/ZmCOqOtFOA2mbVGP.mp4?tag=14
1830282640085451237,"6° Informe de Gobierno, desde el Zócalo de la Ciudad de México https://t.co/gIDBCV6i7F",https://x.com/lopezobrador_/status/1830282640085451237,tweet,Andrés Manuel,@lopezobrador_,2075,347,4411,10961,430389,173,2024-09-01 10:32:41,,
1830096093562167362,"Inauguramos la estación Santa Fe del Tren El Insurgente que comunica al Estado de México con la Ciudad de México. El tramo de la estación Lerma a la alcaldía Cuajimalpa transportará a más de 200 mil pasajeros al día. 

El mayor reconocimiento es para las y los trabajadores de la construcción; con su talento han contribuido a una de las obras más importantes del centro del país.",https://x.com/lopezobrador_/status/1830096093562167362,tweet,Andrés Manuel,@lopezobrador_,982,178,4911,14962,500539,237,2024-08-31 22:11:24,https://pbs.twimg.com/ext_tw_video_thumb/1830095528472035328/pu/img/Hl9auMMjR3KeLL5N.jpg,https://video.twimg.com/ext_tw_video/1830095528472035328/pu/vid/avc1/720x1280/UEtnq0DG7rgcPWig.mp4?tag=12
1830029332942852276,"Inauguración de la estación Santa Fe del Tren El Insurgente, desde Cuajimalpa, Ciudad de México https://t.co/NQDwtCDd74",https://x.com/lopezobrador_/status/1830029332942852276,tweet,Andrés Manuel,@lopezobrador_,436,47,2079,5855,153722,49,2024-08-31 17:46:07,,
1829982390711677180,"Les invito al Zócalo a mi sexto y último Informe de Gobierno mañana a las 10:00 am. Como voy a tardar será con sillas, pero de todas maneras vengan preparados con agua, sombrilla, gorra, gorro o sombrero. https://t.co/pr7n4vLaBC",https://x.com/lopezobrador_/status/1829982390711677180,tweet,Andrés Manuel,@lopezobrador_,2476,268,5489,17550,605164,270,2024-08-31 14:39:36,https://pbs.twimg.com/media/GV7qYawaoAAQzGX.jpg,https://video.twimg.com/amplify_video/1828154210560679937/vid/avc1/1280x720/MyYYneLD-VsTflNJ.mp4?tag=14
1829730982393725080,Funcionó la estrategia de atender las causas de la violencia. El mal hay que enfrentarlo haciendo el bien. https://t.co/VB81DUSLYw,https://x.com/lopezobrador_/status/1829730982393725080,tweet,Andrés Manuel,@lopezobrador_,3260,370,3754,10722,629377,182,2024-08-30 22:00:35,https://pbs.twimg.com/media/GV7qygdaQAA8YuG.jpg,https://video.twimg.com/amplify_video/1828154815513321472/vid/avc1/1280x720/wR-UW2qGA9ohpoWJ.mp4?tag=14
